BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Medium Delay,High Delay
9600,BPR,2452147659.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,0,Z001,Cash,64960299,18.12.2018,Dec,18-12-18,18-12-18,1221001,2019,0.28,2,No Delay,0.54,0.36,0.1
1000,BPR,2452147660.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.27,0,Z001,Cash,64960510,18.12.2018,Dec,18-12-18,18-12-18,1221001,2019,0.28,2,No Delay,0.66,0.29,0.05
1000,BPR,2452147661.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,0,Z001,Cash,64962275,19.12.2018,Dec,19-12-18,19-12-18,1221001,2019,0.28,2,No Delay,0.66,0.28,0.06
1000,BPR,2452147662.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,0,Z001,Cash,64962281,19.12.2018,Dec,19-12-18,19-12-18,1221001,2019,0.28,2,No Delay,0.66,0.28,0.06
1000,BPR,2452147665.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.3,0,Z001,Cash,64962423,19.12.2018,Dec,19-12-18,19-12-18,1221001,2019,0.28,2,No Delay,0.66,0.29,0.05
9600,BPR,2452147712.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.12,0,Z001,Cash,64968956,21.12.2018,Dec,21-12-18,21-12-18,1221001,2019,0.28,2,No Delay,0.55,0.36,0.1
1000,BPR,2452147753.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,0,Z001,Cash,64972266,22.12.2018,Dec,22-12-18,22-12-18,1221001,2019,0.28,2,No Delay,0.67,0.28,0.05
9600,BPR,2202500071.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.13,0,Z001,Cash,64972673,22.12.2018,Dec,22-12-18,22-12-18,1221001,2019,0.28,2,No Delay,0.48,0.43,0.09
9600,BPR,2452147858.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.26,0,Z001,Cash,64985176,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,0.0,0,No Delay,0.77,0.18,0.05
9600,BPR,2202500079.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.13,0,Z001,Cash,64994521,28.12.2018,Dec,28-12-18,28-12-18,1221001,2019,0.0,0,No Delay,0.74,0.18,0.08
9600,BPR,2452147365.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.06,2,Z001,Cash,64919200,05.12.2018,Dec,05-12-18,05-12-18,1221001,2019,0.3,2,No Delay,0.48,0.38,0.14
2500,BPR,2410325302.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,4,ZZ41,Credit,63009421,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.43,3,0 to 10,0.13,0.83,0.04
9600,BPR,2452147326.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,5,Z001,Cash,64907277,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.81,0.16,0.04
2000,BPR,1138400677.0,928053,AHLADA ENGINEERS LIMITED,South,SBAD,RV,0.17,0,Z001,Cash,64944795,13.12.2018,Dec,13-12-18,13-12-18,1221001,2019,0.0,0,No Delay,0.63,0.23,0.14
9600,BPR,2147089903.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.18,0,ZZ30,Credit,64920228,05.12.2018,Dec,05-12-18,10-12-18,1221001,2019,0.0,0,0 to 10,0.38,0.54,0.08
9600,BPR,2147089889.0,927881,SAMRAT IRONS PVT LTD,South,SBAD,RV,0.18,0,ZZ30,Credit,64920210,05.12.2018,Dec,05-12-18,10-12-18,1221001,2019,0.0,0,0 to 10,0.38,0.54,0.08
