BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Clearing,Pending_Amy,pending_cnt,Low Delay_on_NetDUE,Medium Delay_on_NetDUE,High Delay_on_NetDUE,Actual,Prediction_on_NetDue,Prediction_on_Pstng,Low Delay_on_Pstng,Low Medium Delay_on_Pstng,High Delay_on_Pstng,Payment
2000,BPR,2412144369,120961,SKM STEELS LTD,West,INDR,RV,0.16,10,ZZ41,Credit,64793941,31.10.2018,Oct,20181031,20181110,1221001,2019,20181120,6.37,41,0.93,0.07,0,19,0,0,0.69,0.31,0,Yes
2000,BPR,2412144375,120961,SKM STEELS LTD,West,INDR,RV,0.16,10,ZZ41,Credit,64793947,31.10.2018,Oct,20181031,20181110,1221001,2019,20181120,6.37,41,0.93,0.07,0,19,0,0,0.69,0.31,0,Yes
2000,BPR,2426110560,116734,R.S. STEELS,North,GBAD,RV,0.07,10,ZZ19,Credit,64793520,31.10.2018,Oct,20181031,20181110,1221001,2019,20181120,3.7,39,0.9,0.1,0,19,0,0,0.91,0.09,0,Yes
2000,BPR,2424230301,122963,DEVI DAYAL HARI KISHAN,West,INDR,RV,0.31,-1,ZZ19,Credit,64766355,27.10.2018,Oct,20181027,20181106,1221001,2019,20181105,0.9,4,0.45,0.55,0,4,1,1,0.11,0.89,0,
2000,BPR,2424230322,122963,DEVI DAYAL HARI KISHAN,West,INDR,RV,0.25,-1,ZZ19,Credit,64769816,27.10.2018,Oct,20181027,20181106,1221001,2019,20181105,0.9,4,0.88,0.12,0,4,0,1,0.03,0.97,0,
2000,BPR,2424230268,122963,DEVI DAYAL HARI KISHAN,West,INDR,RV,0.17,-1,ZZ19,Credit,64759806,25.10.2018,Oct,20181025,20181104,1221001,2019,20181103,0,0,0.92,0.08,0,2,0,1,0.02,0.98,0,Yes
2000,BPR,2424230267,122963,DEVI DAYAL HARI KISHAN,West,INDR,RV,0.13,-1,ZZ19,Credit,64759803,25.10.2018,Oct,20181025,20181104,1221001,2019,20181103,0,0,0.79,0.21,0,2,0,1,0.03,0.97,0,Yes
2000,BPR,2424230294,122963,DEVI DAYAL HARI KISHAN,West,INDR,RV,0.31,0,ZZ19,Credit,64764969,26.10.2018,Oct,20181026,20181105,1221001,2019,20181105,0.3,2,0.51,0.49,0,4,0,1,0.12,0.88,0,Yes
2000,BPR,2424230280,122963,DEVI DAYAL HARI KISHAN,West,INDR,RV,0.29,0,ZZ19,Credit,64762696,26.10.2018,Oct,20181026,20181105,1221001,2019,20181105,0.3,2,0.51,0.49,0,4,0,1,0.04,0.96,0,Yes
2000,BPR,2424230398,122963,DEVI DAYAL HARI KISHAN,West,INDR,RV,0.02,3,ZZ19,Credit,64791424,31.10.2018,Oct,20181031,20181110,1221001,2019,20181113,3.52,19,0.78,0.22,0,12,0,0,0.64,0.36,0,Yes
2000,BPR,2426110569,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.02,10,ZZ16,Credit,64794032,31.10.2018,Oct,20181031,20181104,1221001,2019,20181114,0.87,6,0.91,0.09,0,13,0,1,0.45,0.55,0,Yes
2000,BPR,2426110568,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.02,10,ZZ16,Credit,64794031,31.10.2018,Oct,20181031,20181104,1221001,2019,20181114,0.87,6,0.91,0.09,0,13,0,1,0.45,0.55,0,Yes
2000,BPR,2412144456,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.16,10,ZZ16,Credit,64794047,31.10.2018,Oct,20181031,20181104,1221001,2019,20181114,0.87,6,0.88,0.12,0,13,0,1,0.45,0.55,0,Yes
2000,BPR,2412144462,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.17,10,ZZ16,Credit,64794053,31.10.2018,Oct,20181031,20181104,1221001,2019,20181114,0.87,6,0.88,0.12,0,13,0,1,0.45,0.55,0,Yes
2000,BPR,2412144459,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.17,10,ZZ16,Credit,64794050,31.10.2018,Oct,20181031,20181104,1221001,2019,20181114,0.87,6,0.88,0.12,0,13,0,1,0.45,0.55,0,Yes
2000,BPR,2412144458,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.18,10,ZZ16,Credit,64794049,31.10.2018,Oct,20181031,20181104,1221001,2019,20181114,0.87,6,0.88,0.12,0,13,0,1,0.45,0.55,0,Yes
2000,BPR,2431591249,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.18,10,ZZ16,Credit,64784454,31.10.2018,Oct,20181031,20181104,1221001,2019,20181114,0.87,6,0.88,0.12,0,13,0,1,0.45,0.55,0,Yes
1000,BPR,2412144494,864390,B K STEEL ENTERPRISES,East,CALS,RV,0.03,11,ZZ16,Credit,64794091,31.10.2018,Oct,20181031,20181104,1221001,2019,20181115,0,0,0.97,0.03,0,14,0,0,0.99,0.01,0,Yes
1000,BPR,2412144490,864390,B K STEEL ENTERPRISES,East,CALS,RV,0.11,11,ZZ16,Credit,64794084,31.10.2018,Oct,20181031,20181104,1221001,2019,20181115,0,0,1,0,0,14,0,0,1,0,0,Yes
1000,BPR,2412144544,864390,B K STEEL ENTERPRISES,East,CALS,RV,0.12,11,ZZ16,Credit,64794157,31.10.2018,Oct,20181031,20181104,1221001,2019,20181115,0,0,1,0,0,14,0,0,1,0,0,Yes
1000,BPR,2412144532,864390,B K STEEL ENTERPRISES,East,CALS,RV,0.14,11,ZZ16,Credit,64794143,31.10.2018,Oct,20181031,20181104,1221001,2019,20181115,0,0,1,0,0,14,0,0,0.99,0.01,0,Yes
1000,BPR,2412144552,864390,B K STEEL ENTERPRISES,East,CALS,RV,0.15,11,ZZ16,Credit,64794167,31.10.2018,Oct,20181031,20181104,1221001,2019,20181115,0,0,0.99,0.01,0,14,0,0,0.99,0.01,0,Yes
2000,BPR,2424230399,122963,DEVI DAYAL HARI KISHAN,West,INDR,RV,0.27,3,ZZ19,Credit,64791439,31.10.2018,Oct,20181031,20181110,1221001,2019,20181113,3.52,19,0.85,0.15,0,12,0,0,0.66,0.34,0,Yes
2000,BPR,2483309500,122875,KRISHNA TRADERS (SHEET DIVISIO,West,PUNE,RV,0.02,2,ZZ28,Credit,64791782,31.10.2018,Oct,20181031,20181103,1221001,2019,20181105,0,0,0.78,0.22,0,4,0,1,0.47,0.53,0,Yes
2000,BPR,2483309499,122875,KRISHNA TRADERS (SHEET DIVISIO,West,PUNE,RV,0.17,2,ZZ28,Credit,64791770,31.10.2018,Oct,20181031,20181103,1221001,2019,20181105,0,0,0.79,0.21,0,4,0,1,0.17,0.83,0,Yes
9600,BPR,2146119841,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.11,-5,Z004,Credit,64794398,31.10.2018,Oct,20181031,20181115,1221001,2019,20181110,1.11,8,0.65,0.35,0,9,0,0,0.61,0.37,0.02,Yes
2000,BPR,2431592174,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.15,2,ZZ16,Credit,64791493,31.10.2018,Oct,20181031,20181104,1221001,2019,20181106,1.11,8,0.64,0.36,0,5,0,1,0.45,0.55,0,Yes
9600,BPR,2146119840,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.11,3,ZZ34,Credit,64794396,31.10.2018,Oct,20181031,20181102,1221001,2019,20181105,1.11,8,0.88,0.12,0,4,0,1,0.44,0.56,0,Yes
9600,BPR,2146119834,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.15,3,ZZ34,Credit,64794371,31.10.2018,Oct,20181031,20181102,1221001,2019,20181105,1.11,8,0.81,0.19,0,4,0,1,0.43,0.57,0,Yes
9600,BPR,2146119227,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.11,4,ZZ34,Credit,64778362,30.10.2018,Oct,20181030,20181101,1221001,2019,20181105,0.7,5,0.88,0.12,0,4,0,1,0,0.99,0,Yes
9600,BPR,2146119850,121328,RS BOKARO METAL (P) LTD.,East,JAMS,RV,0.15,3,ZZ34,Credit,64794453,31.10.2018,Oct,20181031,20181102,1221001,2019,20181105,1.11,8,0.81,0.19,0,4,0,1,0.43,0.57,0,Yes
