BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,No Delay,0 to 10,>=10
2500,BPR,2410324640.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.13,-1,ZZ41,Credit,64966842,20.12.2018,Dec,20-12-18,30-12-18,1221001,2019,0.97,7,0 to 10,0.4,0.58,0.02
1000,BPR,2351199947.0,926346,GRG STEELS PVT. LTD.,North,GBAD,RV,0.14,0,Z001,Cash,64965953,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.97,7,No Delay,0.63,0.35,0.02
9600,BPR,2351199948.0,926346,GRG STEELS PVT. LTD.,North,GBAD,RV,0.14,0,Z001,Cash,64965954,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.97,7,No Delay,0.62,0.35,0.04
9600,BPR,2351199963.0,926346,GRG STEELS PVT. LTD.,North,GBAD,RV,0.27,0,Z001,Cash,64966675,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.97,7,No Delay,0.64,0.33,0.03
9600,BPR,2351199972.0,926346,GRG STEELS PVT. LTD.,North,GBAD,RV,0.14,0,Z001,Cash,64967126,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.97,7,No Delay,0.62,0.35,0.04
1000,BPR,2351199973.0,926346,GRG STEELS PVT. LTD.,North,GBAD,RV,0.14,0,Z001,Cash,64967127,20.12.2018,Dec,20-12-18,20-12-18,1221001,2019,0.97,7,No Delay,0.63,0.35,0.02
2000,BPR,2442038348.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,0,ZZ19,Credit,64970986,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,1.1,8,0 to 10,0.34,0.53,0.13
2000,BPR,2412162652.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.14,0,ZZ19,Credit,64971079,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,1.1,8,0 to 10,0.32,0.56,0.13
2000,BPR,2412162645.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.15,0,ZZ19,Credit,64971071,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,1.1,8,0 to 10,0.32,0.56,0.12
1000,BPR,2351200061.0,926346,GRG STEELS PVT. LTD.,North,GBAD,RV,0.26,0,Z001,Cash,64986208,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,0.56,4,No Delay,0.66,0.27,0.06
1000,BPR,2351200060.0,926346,GRG STEELS PVT. LTD.,North,GBAD,RV,0.27,0,Z001,Cash,64986195,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,0.56,4,No Delay,0.66,0.27,0.06
2000,BPR,2351200059.0,926346,GRG STEELS PVT. LTD.,North,GBAD,RV,0.14,0,Z001,Cash,64986183,26.12.2018,Dec,26-12-18,26-12-18,1221001,2019,0.56,4,No Delay,0.55,0.35,0.1
1000,BPR,2412163040.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.14,6,ZZ42,Credit,64974554,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.19,0.61,0.2
1000,BPR,2412163049.0,925879,HST STEELS PRIVATE LIMITED,South,SBAD,RV,0.14,6,ZZ42,Credit,64974563,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,2.89,18,0 to 10,0.19,0.61,0.2
