BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Low Medium Delay,High Delay
1000,BPR,2351200042,101446,BANSAL BROTHERS,North,FBAD,RV,0.15,-8,Z003,Credit,64982912,25.12.2018,Dec,25-12-18,04-01-19,1221001,2019,0.24,2,No Delay,0.97,0.01,0.02
1000,BPR,2351200077,101446,BANSAL BROTHERS,North,FBAD,RV,0.13,-8,Z003,Credit,64989422,27.12.2018,Dec,27-12-18,06-01-19,1221001,2019,0.38,3,No Delay,0.98,0.01,0.01
1000,BPR,2351200041,101446,BANSAL BROTHERS,North,FBAD,RV,0.13,-8,Z003,Credit,64982902,25.12.2018,Dec,25-12-18,04-01-19,1221001,2019,0.24,2,No Delay,0.98,0.01,0.02
9600,BPR,2351200073,101446,BANSAL BROTHERS,North,FBAD,RV,0.15,-7,Z003,Credit,64986470,26.12.2018,Dec,26-12-18,05-01-19,1221001,2019,0.63,5,No Delay,0.99,0.01,0.0
9600,BPR,2351200076,101446,BANSAL BROTHERS,North,FBAD,RV,0.12,-8,Z003,Credit,64989420,27.12.2018,Dec,27-12-18,06-01-19,1221001,2019,0.38,3,No Delay,0.97,0.03,0.0
9600,BPR,2351200038,101446,BANSAL BROTHERS,North,FBAD,RV,0.12,-8,Z003,Credit,64981816,25.12.2018,Dec,25-12-18,04-01-19,1221001,2019,0.24,2,No Delay,0.97,0.03,0.0
9600,BPR,2351200040,101446,BANSAL BROTHERS,North,FBAD,RV,0.12,-8,Z003,Credit,64982901,25.12.2018,Dec,25-12-18,04-01-19,1221001,2019,0.24,2,No Delay,0.97,0.03,0.0
9600,BPR,2351200072,101446,BANSAL BROTHERS,North,FBAD,RV,0.12,-7,Z003,Credit,64986469,26.12.2018,Dec,26-12-18,05-01-19,1221001,2019,0.63,5,No Delay,0.98,0.02,0.0
1000,BPR,2412165040,101446,BANSAL BROTHERS,North,FBAD,RV,0.13,-1,ZZ41,Credit,64991685,27.12.2018,Dec,27-12-18,06-01-19,1221001,2019,0.38,3,No Delay,0.93,0.01,0.06
1000,BPR,2412165041,101446,BANSAL BROTHERS,North,FBAD,RV,0.13,-1,ZZ41,Credit,64991686,27.12.2018,Dec,27-12-18,06-01-19,1221001,2019,0.38,3,No Delay,0.93,0.01,0.06
9600,BPR,2351200266,101446,BANSAL BROTHERS,North,FBAD,RV,0.13,0,Z003,Credit,63002509,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.75,6,No Delay,0.99,0.01,0.0
