BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Low Medium Delay,High Delay
2000,BPR,2426113150,103092,TEJRAM RAMNIWAS AGARWAL,West,NPUR,RV,0.18,0,ZZ17,Credit,64994710,28.12.2018,Dec,28-12-18,03-01-19,1221001,2019,0.34,3,High Delay,0.08,0.03,0.89
2000,BPR,2412166179,102888,THIRUPATHY STEELS,South,MADS,RV,0.17,-9,ZZ19,Credit,63004648,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.55,4,No Delay,0.66,0.02,0.32
2000,BPR,2412164962,102888,THIRUPATHY STEELS,South,MADS,RV,0.14,-8,ZZ19,Credit,64991496,27.12.2018,Dec,27-12-18,06-01-19,1221001,2019,0.33,3,No Delay,0.96,0.0,0.03
1000,BPR,2426908906,102888,THIRUPATHY STEELS,South,MADS,RV,0.14,-7,ZZ40,Credit,63003954,30.12.2018,Dec,30-12-18,07-01-19,1221001,2019,0.55,4,No Delay,0.66,0.23,0.12
2000,BPR,2426113017,102888,THIRUPATHY STEELS,South,MADS,RV,0.16,-3,ZZ18,Credit,64979583,24.12.2018,Dec,24-12-18,01-01-19,1221001,2019,0.0,0,No Delay,0.68,0.02,0.3
2000,BPR,2426113018,102888,THIRUPATHY STEELS,South,MADS,RV,0.03,-5,ZZ19,Credit,64979585,24.12.2018,Dec,24-12-18,03-01-19,1221001,2019,0.0,0,No Delay,0.98,0.0,0.02
2000,BPR,2412162581,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.14,-5,ZZ19,Credit,64971005,21.12.2018,Dec,21-12-18,31-12-18,1221001,2019,0.61,4,Low Delay,0.41,0.57,0.01
2000,BPR,2412166025,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.16,0,ZZ19,Credit,63004304,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.29,2,Low Delay,0.16,0.83,0.01
2000,BPR,2412165972,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.07,0,ZZ19,Credit,63004236,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.29,2,No Delay,0.87,0.11,0.01
2000,BPR,2412166037,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.14,0,ZZ19,Credit,63004316,30.12.2018,Dec,30-12-18,09-01-19,1221001,2019,0.29,2,Low Delay,0.33,0.65,0.02
2000,BPR,2412166629,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.14,0,ZZ19,Credit,63011048,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.66,5,Low Delay,0.39,0.6,0.01
2000,BPR,2412166632,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.14,0,ZZ19,Credit,63011052,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.66,5,Low Delay,0.39,0.6,0.01
2000,BPR,2412166633,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.14,0,ZZ19,Credit,63011053,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.66,5,Low Delay,0.39,0.6,0.01
2000,BPR,2412166637,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.14,0,ZZ19,Credit,63011059,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.66,5,Low Delay,0.39,0.6,0.01
2000,BPR,2412166636,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.14,0,ZZ19,Credit,63011057,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.66,5,Low Delay,0.39,0.6,0.01
2000,BPR,2412166672,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.15,0,ZZ19,Credit,63011100,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.66,5,Low Delay,0.08,0.92,0.0
2000,BPR,2412166635,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.14,0,ZZ19,Credit,63011056,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,0.66,5,Low Delay,0.39,0.6,0.01
2000,BPR,2426113114,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.14,0,ZZ19,Credit,64991645,27.12.2018,Dec,27-12-18,06-01-19,1221001,2019,0.0,0,No Delay,0.76,0.07,0.17
2000,BPR,2442038372,102457,SANJEEV INDUSTRIAL CORPORATION,North,FBAD,RV,0.15,0,ZZ19,Credit,64991708,27.12.2018,Dec,27-12-18,06-01-19,1221001,2019,0.0,0,No Delay,0.75,0.1,0.15
2000,BPR,2424231204,120296,MAHARASHTRA METAL INDUSTRIES P,West,BOMB,RV,0.16,16,ZZ19,Credit,64976005,23.12.2018,Dec,23-12-18,02-01-19,1221001,2019,1.03,7,Low Delay,0.45,0.48,0.07
2000,BPR,2426113176,115841,O.V.S. ISPAT UDYOG,North,KANP,RV,0.02,16,ZZ32,Credit,63000344,29.12.2018,Dec,29-12-18,05-01-19,1221001,2019,2.13,14,No Delay,0.97,0.01,0.02
2000,BPR,2426113175,115841,O.V.S. ISPAT UDYOG,North,KANP,RV,0.18,16,ZZ32,Credit,63000343,29.12.2018,Dec,29-12-18,05-01-19,1221001,2019,2.13,14,No Delay,0.93,0.03,0.04
3000,BPR,2485216796,163486,Rohit & Co.,West,BOMB,RV,0.12,17,ZZ41,Credit,64995474,28.12.2018,Dec,28-12-18,07-01-19,1221001,2019,10.51,81,Low Delay,0.39,0.48,0.13
3000,BPR,2485216794,163486,Rohit & Co.,West,BOMB,RV,0.13,17,ZZ41,Credit,64995421,28.12.2018,Dec,28-12-18,07-01-19,1221001,2019,10.51,81,Low Delay,0.37,0.5,0.13
3000,BPR,2485216799,163486,Rohit & Co.,West,BOMB,RV,0.13,17,ZZ41,Credit,64995636,28.12.2018,Dec,28-12-18,07-01-19,1221001,2019,10.51,81,Low Delay,0.37,0.5,0.13
3000,BPR,2485216802,163486,Rohit & Co.,West,BOMB,RV,0.14,17,ZZ41,Credit,64995763,28.12.2018,Dec,28-12-18,07-01-19,1221001,2019,10.51,81,Low Delay,0.36,0.48,0.16
2000,BPR,2412163031,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.07,19,ZZ42,Credit,64974544,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,Low Delay,0.23,0.77,0.0
2000,BPR,2412163052,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.08,19,ZZ42,Credit,64974566,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,Low Delay,0.23,0.77,0.0
2000,BPR,2412163034,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.08,19,ZZ42,Credit,64974547,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,Low Delay,0.23,0.77,0.0
2000,BPR,2412163032,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.08,19,ZZ42,Credit,64974545,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,Low Delay,0.23,0.77,0.0
2000,BPR,2412163033,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.08,19,ZZ42,Credit,64974546,22.12.2018,Dec,22-12-18,03-01-19,1221001,2019,0.24,3,Low Delay,0.23,0.77,0.0
3000,BPR,2485216887,163486,Rohit & Co.,West,BOMB,RV,0.06,19,ZZ41,Credit,63004905,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.36,0.57,0.06
1000,BPR,2483314275,163486,Rohit & Co.,West,BOMB,RV,0.09,19,ZZ41,Credit,63009827,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
1000,BPR,2483314271,163486,Rohit & Co.,West,BOMB,RV,0.09,19,ZZ41,Credit,63009813,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
1000,BPR,2483314280,163486,Rohit & Co.,West,BOMB,RV,0.09,19,ZZ41,Credit,63009911,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.3,0.63,0.07
9600,BPR,2483314293,163486,Rohit & Co.,West,BOMB,RV,0.1,19,ZZ41,Credit,63010236,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.28,0.66,0.06
9600,BPR,2483314306,163486,Rohit & Co.,West,BOMB,RV,0.11,19,ZZ41,Credit,63010358,31.12.2018,Dec,31-12-18,10-01-19,1221001,2019,16.36,121,Low Delay,0.27,0.67,0.06
