BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Clearing,Pending_Amy,pending_cnt,Low Delay_on_NetDUE,Medium Delay_on_NetDUE,High Delay_on_NetDUE,Actual,Prediction_on_NetDue,Prediction_on_Pstng,Low Delay_on_Pstng,Low Medium Delay_on_Pstng,High Delay_on_Pstng,Payment
9600,BPR,1115501955.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.04,5,ZZ41,Credit,64792344,31.10.2018,Oct,20181031,20181110,1221001,2019,20181115,0.6,4,0.33,0.66,0.01,10,1,2,0.0,0.39,0.55,
2500,BPR,2410320471.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.16,2,ZZ41,Credit,64801057,03.11.2018,Nov,20181103,20181113,1221001,2019,20181115,1.26,9,0.19,0.8,0.0,10,1,2,0.0,0.15,0.74,
1000,BPR,2412144336.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.14,5,ZZ41,Credit,64793901,31.10.2018,Oct,20181031,20181110,1221001,2019,20181115,0.6,4,0.27,0.72,0.01,10,1,2,0.0,0.39,0.55,
2500,BPR,2410320421.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.16,3,ZZ41,Credit,64798976,02.11.2018,Nov,20181102,20181112,1221001,2019,20181115,1.1,8,0.27,0.72,0.01,10,1,2,0.0,0.14,0.75,
2500,BPR,2410320381.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.16,4,ZZ41,Credit,64798089,01.11.2018,Nov,20181101,20181111,1221001,2019,20181115,0.94,7,0.26,0.73,0.01,10,1,2,0.0,0.18,0.72,
9600,BPR,2146119228.0,924924,INDICOR STEEL PRIVATE LIMITED,South,SBAD,RV,0.17,5,ZZ42,Credit,64778363,30.10.2018,Oct,20181030,20181111,1221001,2019,20181116,0.67,4,0.43,0.35,0.22,11,0,1,0.0,0.57,0.36,Yes
2000,BPR,2418202652.0,828300,SILIGURI BUILDERS PVT. LTD.,East,CALS,RV,0.06,5,ZZ16,Credit,64794530,31.10.2018,Oct,20181031,20181104,1221001,2019,20181109,0.22,1,0.96,0.04,0.0,4,0,1,0.01,0.99,0.0,Yes
2000,BPR,2418202651.0,828300,SILIGURI BUILDERS PVT. LTD.,East,CALS,RV,0.26,5,ZZ16,Credit,64794529,31.10.2018,Oct,20181031,20181104,1221001,2019,20181109,0.22,1,0.51,0.49,0.0,4,0,1,0.03,0.97,0.0,Yes
2000,BPR,2418202649.0,828300,SILIGURI BUILDERS PVT. LTD.,East,CALS,RV,0.31,5,ZZ16,Credit,64790769,31.10.2018,Oct,20181031,20181104,1221001,2019,20181109,0.22,1,0.52,0.47,0.0,4,0,1,0.04,0.96,0.0,Yes
1000,BPR,2412143783.0,926346,GRG STEELS PVT. LTD.,North,FBAD,RV,0.12,-1,ZZ41,Credit,64787419,31.10.2018,Oct,20181031,20181110,1221001,2019,20181109,1.5,10,0.96,0.03,0.01,4,0,1,0.31,0.69,0.0,Yes
