,  Local Crcy Amt,Status
0,0.03521238,2
1,0.12312356,0
2,0.274465789,1
3,0.151648446,2
4,0.156470006,0
5,0.15576144,1
6,0.143387471,0
7,0.15298705,1
8,0.173732906,0
9,0.160817574,0
10,0.156376152,0
11,0.12299655300000001,1
12,0.18499863,1
13,0.27875199,0
14,0.27820506,0
15,0.039136478999999995,0
16,0.038459097,0
17,0.038639754,0
18,0.157642953,0
19,0.11963811599999999,0
20,0.040181718,0
21,0.102242961,0
22,0.119638122,0
23,0.12236161200000001,0
24,0.11755193700000001,0
25,0.006651600999999999,0
26,0.006651600999999999,0
27,0.006651600999999999,0
28,0.006288786,0
29,0.006288786,0
30,0.006288786,0
31,0.0065156,0
32,0.0065156,0
33,0.0065156,0
34,0.006339503,0
35,0.006339503,0
36,0.006339503,0
37,0.006591132,0
38,0.006591132,0
39,0.006591132,0
40,0.006651600999999999,0
41,0.006651600999999999,0
42,0.006651600999999999,0
43,0.0065156,0
44,0.0065156,0
45,0.0065156,0
46,0.0063982019999999995,0
47,0.0063982019999999995,0
48,0.0063982019999999995,0
49,0.006321894000000001,0
50,0.006321894000000001,0
51,0.006321894000000001,0
52,0.006163406,0
53,0.006163406,0
54,0.006163406,0
55,0.006339503,0
56,0.006339503,0
57,0.006339503,0
58,0.006486251,0
59,0.006486251,0
60,0.006486251,0
61,0.006163406,0
62,0.006163406,0
63,0.006163406,0
64,0.006339503,0
65,0.006339503,0
66,0.006339503,0
67,0.006486251,0
68,0.006486251,0
69,0.006486251,0
70,0.00654495,0
71,0.00654495,0
72,0.00654495,0
73,0.006893477,0
74,0.006893477,0
75,0.006893477,0
76,0.005986441,0
77,0.005986441,0
78,0.005986441,0
79,0.039910386,0
80,0.004872025,0
81,0.004872025,0
82,0.004872025,0
83,0.004872025,0
84,0.004872025,0
85,0.004872025,0
86,0.006560898,0
87,0.006560898,0
88,0.006560898,0
89,0.00671207,0
90,0.00671207,0
91,0.00671207,0
92,0.00654495,0
93,0.00654495,0
94,0.00654495,0
95,0.006339503,1
96,0.006339503,1
97,0.006339503,1
98,0.192678884,0
99,0.195463897,0
100,0.1382625,0
101,0.160279424,0
102,0.160478112,0
103,0.137053696,0
104,0.134022701,0
105,0.09936393,0
106,0.136592458,0
107,0.137185478,0
108,0.13711958700000001,0
109,0.08477059599999999,0
110,0.08642852399999999,0
111,0.083761422,0
