,Pstng.Date,Account,Local.Crcy.Amt
272,28-12-18,927881,0.16
273,31-10-18,927881,0.16
274,31-10-18,927881,0.16
275,28-12-18,927881,0.17
276,28-12-18,927881,0.17
278,31-10-18,927881,0.17
281,10-08-18,927881,0.17
282,10-08-18,927881,0.17
283,10-08-18,927881,0.17
293,03-08-18,927881,0.13
294,31-10-18,927881,0.16
295,31-10-18,927881,0.16
296,03-08-18,927881,0.14
297,31-10-18,927881,0.17
298,31-10-18,927881,0.17
300,25-08-18,927881,0.15
301,25-08-18,927881,0.15
302,21-12-18,927881,0.15
303,21-12-18,927881,0.15
304,21-12-18,927881,0.16
305,25-08-18,927881,0.16
307,21-12-18,927881,0.16
309,03-08-18,927881,0.16
311,22-12-18,927881,0.16
312,23-12-18,927881,0.16
316,22-12-18,927881,0.16
317,22-12-18,927881,0.16
318,22-12-18,927881,0.16
319,22-12-18,927881,0.16
320,21-08-18,927881,0.15
321,17-09-18,927881,0.17
325,31-08-18,927881,0.15
326,21-08-18,927881,0.17
328,14-09-18,927881,0.16
329,18-08-18,927881,0.15
330,31-10-18,927881,0.16
331,18-08-18,927881,0.17
332,17-08-18,927881,0.17
333,10-09-18,927881,0.16
336,29-09-18,927878,0.04
337,29-09-18,927878,0.05
338,10-09-18,927878,0.14
339,06-09-18,927878,0.14
340,06-09-18,927878,0.12
341,08-05-18,927878,0.14
342,17-04-18,927878,0.14
343,20-04-18,927878,0.14
344,20-04-18,927878,0.13
345,22-04-18,927878,0.14
356,13-08-18,927878,0.14
392,27-09-18,927116,0.28
393,25-09-18,927116,0.28
394,22-09-18,927116,0.28
395,29-06-18,927116,0.16
396,29-06-18,927116,0.16
403,28-04-18,927116,0.26
505,28-09-18,927105,0.11
506,19-09-18,927105,0.26
507,01-09-18,927105,0.16
508,23-08-18,927105,0.18
509,31-07-18,927105,0.16
510,30-07-18,927105,0.27
511,18-07-18,927105,0.22
512,25-06-18,927105,0.17
513,25-06-18,927105,0.17
514,25-06-18,927105,0.27
515,30-05-18,927105,0.15
516,25-05-18,927105,0.17
517,23-05-18,927105,0.2
518,12-05-18,927105,0.21
519,28-04-18,927105,0.06
520,26-10-18,927105,0.15
521,31-10-18,927105,0.09
522,27-11-18,927105,0.28
523,12-09-18,926480,0.16
524,29-08-18,926480,0.14
525,29-08-18,926480,0.15
526,29-08-18,926480,0.15
527,29-08-18,926480,0.16
528,28-08-18,926480,0.14
529,28-08-18,926480,0.17
530,28-08-18,926480,0.16
531,28-08-18,926480,0.18
532,31-07-18,926480,0.16
533,31-07-18,926480,0.17
534,29-06-18,926480,0.14
535,29-06-18,926480,0.09
536,29-06-18,926480,0.15
537,29-06-18,926480,0.1
538,22-06-18,926480,0.09
539,15-06-18,926480,0.16
540,07-06-18,926480,0.13
541,30-05-18,926480,0.05
542,30-05-18,926480,0.14
543,30-05-18,926480,0.03
544,29-05-18,926480,0.19
545,29-05-18,926480,0.15
546,28-05-18,926480,0.15
547,28-05-18,926480,0.16
548,25-05-18,926480,0.15
549,07-05-18,926480,0.06
550,05-05-18,926480,0.15
551,04-05-18,926480,0.18
552,31-08-18,926480,0.2
553,31-08-18,926480,0.15
554,31-08-18,926480,0.15
555,31-07-18,926480,0.16
556,30-07-18,926480,0.16
557,30-07-18,926480,0.17
558,29-06-18,926480,0.16
559,28-06-18,926480,0.15
560,28-06-18,926480,0.15
561,23-06-18,926480,0.17
562,17-06-18,926480,0.16
563,24-05-18,926480,0.19
564,13-04-18,926480,0.18
565,04-04-18,926480,0.01
566,05-04-18,926480,0.12
567,05-04-18,926480,0.16
568,10-04-18,926480,0.17
569,10-04-18,926480,0.12
570,10-04-18,926480,0.14
571,26-04-18,926480,0.16
572,30-04-18,926480,0.1
573,30-04-18,926480,0.17
574,22-10-18,926480,0.18
575,24-10-18,926480,0.17
576,31-10-18,926480,0.17
577,22-10-18,926480,0.17
578,24-10-18,926480,0.16
579,29-11-18,926480,0.17
580,29-11-18,926480,0.17
581,27-11-18,926480,0.16
582,27-11-18,926480,0.17
583,10-11-18,926480,0.14
584,30-12-18,926480,0.13
585,18-12-18,926480,0.16
586,19-12-18,926480,0.17
587,24-12-18,926480,0.17
588,30-05-18,926480,0.05
589,30-12-18,926480,0.09
590,30-12-18,926480,0.13
591,29-11-18,926480,0.17
592,26-05-18,926480,0.12
593,20-12-18,926480,0.19
742,30-09-18,926346,0.12
743,30-09-18,926346,0.14
744,30-09-18,926346,0.29
745,30-09-18,926346,0.37
746,30-09-18,926346,0.12
747,30-09-18,926346,0.28
748,30-09-18,926346,0.14
749,29-09-18,926346,0.12
750,29-09-18,926346,0.22
751,29-09-18,926346,0.17
752,29-09-18,926346,0.22
753,29-09-18,926346,0.12
754,29-09-18,926346,0.25
755,29-09-18,926346,0.24
756,29-09-18,926346,0.24
757,29-09-18,926346,0.25
758,29-09-18,926346,0.22
759,29-09-18,926346,0.11
760,29-09-18,926346,0.13
761,28-09-18,926346,0.13
762,28-09-18,926346,0.15
763,28-09-18,926346,0.13
764,28-09-18,926346,0.1
765,28-09-18,926346,0.13
766,28-09-18,926346,0.23
767,28-09-18,926346,0.09
768,28-09-18,926346,0.14
769,28-09-18,926346,0.12
770,28-09-18,926346,0.12
771,28-09-18,926346,0.13
772,28-09-18,926346,0.2
773,27-09-18,926346,0.12
774,27-09-18,926346,0.26
775,27-09-18,926346,0.13
776,27-09-18,926346,0.13
777,27-09-18,926346,0.12
778,27-09-18,926346,0.23
779,27-09-18,926346,0.18
780,27-09-18,926346,0.16
781,27-09-18,926346,0.09
782,06-09-18,926346,0.14
783,05-09-18,926346,0.13
784,31-08-18,926346,0.13
785,31-08-18,926346,0.14
786,31-08-18,926346,0.27
787,31-08-18,926346,0.29
788,30-08-18,926346,0.23
789,31-07-18,926346,0.16
790,31-07-18,926346,0.09
791,31-07-18,926346,0.13
792,31-07-18,926346,0.16
793,30-07-18,926346,0.14
794,27-07-18,926346,0.08
795,27-07-18,926346,0.12
796,27-07-18,926346,0.12
797,23-07-18,926346,0.15
798,23-07-18,926346,0.15
799,23-07-18,926346,0.1
800,23-07-18,926346,0.16
801,17-07-18,926346,0.12
802,07-07-18,926346,0.05
803,06-07-18,926346,0.03
804,30-06-18,926346,0.09
805,30-06-18,926346,0.16
806,30-06-18,926346,0.07
807,30-06-18,926346,0.27
808,29-06-18,926346,0.06
809,31-05-18,926346,0.28
810,31-05-18,926346,0.13
811,31-05-18,926346,0.13
812,31-05-18,926346,0.14
813,31-05-18,926346,0.12
814,30-05-18,926346,0.14
815,30-05-18,926346,0.14
816,30-05-18,926346,0.28
817,28-05-18,926346,0.13
818,28-05-18,926346,0.03
819,25-05-18,926346,0.13
820,24-05-18,926346,0.27
821,17-05-18,926346,0.06
822,17-05-18,926346,0.15
823,17-05-18,926346,0.25
837,18-04-18,926346,0.12
838,18-04-18,926346,0.05
839,19-04-18,926346,0.25
840,21-04-18,926346,0.13
841,21-04-18,926346,0.15
842,24-04-18,926346,0.15
843,25-04-18,926346,0.12
845,18-10-18,926346,0.29
846,31-10-18,926346,0.26
853,30-10-18,926346,0.2
854,08-10-18,926346,0.19
866,12-10-18,926346,0.16
872,15-10-18,926346,0.15
874,29-10-18,926346,0.14
875,18-10-18,926346,0.14
876,18-10-18,926346,0.14
877,09-10-18,926346,0.13
878,31-10-18,926346,0.13
879,30-10-18,926346,0.13
880,30-10-18,926346,0.13
881,31-10-18,926346,0.13
882,30-10-18,926346,0.13
885,12-10-18,926346,0.12
886,30-10-18,926346,0.07
913,30-11-18,926346,0.14
914,30-11-18,926346,0.18
915,29-11-18,926346,0.14
916,29-11-18,926346,0.12
917,29-11-18,926346,0.12
918,29-11-18,926346,0.23
919,29-11-18,926346,0.24
920,27-11-18,926346,0.12
921,24-11-18,926346,0.13
922,19-11-18,926346,0.12
923,17-11-18,926346,0.11
924,16-11-18,926346,0.14
925,16-11-18,926346,0.16
926,29-12-18,926346,0.13
927,30-12-18,926346,0.13
929,31-12-18,926346,0.25
934,11-12-18,926346,0.25
935,11-12-18,926346,0.27
936,12-12-18,926346,0.26
937,12-12-18,926346,0.27
938,12-12-18,926346,0.26
939,12-12-18,926346,0.25
940,13-12-18,926346,0.27
943,14-12-18,926346,0.14
944,14-12-18,926346,0.26
945,14-12-18,926346,0.27
946,14-12-18,926346,0.13
947,14-12-18,926346,0.08
949,14-12-18,926346,0.15
950,14-12-18,926346,0.27
951,14-12-18,926346,0.25
952,14-12-18,926346,0.13
954,15-12-18,926346,0.12
955,15-12-18,926346,0.26
958,17-12-18,926346,0.06
959,17-12-18,926346,0.13
960,17-12-18,926346,0.11
961,18-12-18,926346,0.12
962,19-12-18,926346,0.26
963,19-12-18,926346,0.14
964,19-12-18,926346,0.27
965,19-12-18,926346,0.24
966,19-12-18,926346,0.12
967,20-12-18,926346,0.14
968,20-12-18,926346,0.14
969,20-12-18,926346,0.27
970,20-12-18,926346,0.14
971,20-12-18,926346,0.14
975,26-12-18,926346,0.26
976,26-12-18,926346,0.27
977,26-12-18,926346,0.14
978,27-12-18,926346,0.14
979,28-12-18,926346,0.18
980,28-12-18,926346,0.26
981,29-12-18,926346,0.13
1053,24-07-18,926346,0.06
1141,29-09-18,925879,0.13
1142,29-09-18,925879,0.14
1143,29-09-18,925879,0.16
1144,24-09-18,925879,0.17
1145,31-08-18,925879,0.13
1146,31-08-18,925879,0.16
1147,31-08-18,925879,0.14
1148,31-08-18,925879,0.16
1149,31-08-18,925879,0.15
1150,14-08-18,925879,0.16
1151,14-08-18,925879,0.16
1152,14-08-18,925879,0.16
1153,14-08-18,925879,0.12
1154,11-08-18,925879,0.16
1155,10-08-18,925879,0.12
1156,09-08-18,925879,0.14
1157,09-08-18,925879,0.14
1158,06-08-18,925879,0.16
1159,31-07-18,925879,0.14
1160,31-07-18,925879,0.16
1161,31-07-18,925879,0.17
1162,31-07-18,925879,0.14
1163,26-07-18,925879,0.17
1164,26-07-18,925879,0.17
1165,26-07-18,925879,0.17
1166,20-07-18,925879,0.14
1167,20-07-18,925879,0.17
1168,30-06-18,925879,0.16
1169,30-06-18,925879,0.17
1170,30-06-18,925879,0.16
1171,30-06-18,925879,0.17
1172,28-06-18,925879,0.17
1173,27-06-18,925879,0.17
1174,27-06-18,925879,0.17
1175,25-06-18,925879,0.17
1176,25-06-18,925879,0.14
1177,23-06-18,925879,0.14
1178,23-06-18,925879,0.13
1179,22-06-18,925879,0.12
1180,22-06-18,925879,0.14
1181,21-06-18,925879,0.14
1182,21-06-18,925879,0.14
1183,20-06-18,925879,0.17
