BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Status,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Clrng.doc.,Clearing,Pending_Amy,pending_cnt,Prediction
1000,BPR,4132000216,929488,KAUSALYA AGENCIES,South,SBAD,RV,Not OD,0.1,-5,ZZ36,Credit,63008692,31.12.2018,Dec,31-12-18,05-01-19,1221001,2019,94177601,31-12-18,0,0,No delay
9600,BPR,1115501955,928860,TATA STEEL PROCESSING,North,GBAD,RV,Overdue,0.04,5,ZZ41,Credit,64792344,31.10.2018,Oct,31-10-18,10-11-18,1221001,2019,93892774,15-11-18,0.6,4,4-7 days
9600,BPR,1115501981,928860,TATA STEEL PROCESSING,North,GBAD,RV,Not OD,0.12,0,ZZ41,Credit,64806229,05.11.2018,Nov,05-11-18,15-11-18,1221001,2019,93892774,15-11-18,1.42,10,No delay
9600,BPR,2146118782,928860,TATA STEEL PROCESSING,North,GBAD,RV,Overdue,0.14,8,ZZ41,Credit,64768205,27.10.2018,Oct,27-10-18,06-11-18,1221001,2019,93892773,14-11-18,0,0,8-15 days
2500,BPR,2410320471,928860,TATA STEEL PROCESSING,North,GBAD,RV,Overdue,0.16,2,ZZ41,Credit,64801057,03.11.2018,Nov,03-11-18,13-11-18,1221001,2019,93892774,15-11-18,1.26,9,0-3 days
