BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Medium Delay,High Delay
2000,BPR,2426112088.0,826558,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.2,6,ZZ18,Credit,64906702,01.12.2018,Dec,01-12-18,09-12-18,1221001,2019,0.0,0,No Delay,0.62,0.32,0.06
2000,BPR,2424230848.0,826558,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.29,6,ZZ18,Credit,64907955,01.12.2018,Dec,01-12-18,09-12-18,1221001,2019,0.0,0,No Delay,0.64,0.3,0.05
9600,BPR,2146124516.0,826216,G K ISPAT PRIVATE LIMITED,South,SBAD,RV,0.12,3,ZZ39,Credit,64907775,01.12.2018,Dec,01-12-18,07-12-18,1221001,2019,0.0,0,0 to 20,0.44,0.51,0.05
1000,BPR,2473284975.0,822272,TATA STEEL PROCESSING,South,MADS,RV,0.15,12,ZZ30,Credit,64907970,01.12.2018,Dec,01-12-18,06-12-18,1221001,2019,0.0,0,No Delay,0.65,0.33,0.02
4000,BPR,2418112875.0,818777,SHRI RAM SALES,East,JAMS,RV,0.19,0,Z001,Cash,64906724,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.88,0.12,0.0
4000,BPR,2418112893.0,818777,SHRI RAM SALES,East,JAMS,RV,0.18,0,Z001,Cash,64907007,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.86,0.11,0.02
2000,BPR,2412156719.0,817379,VIJAY SHEETS AND STRIPS PVT LT,South,SBAD,RV,0.15,0,ZZ20,Credit,64907420,01.12.2018,Dec,01-12-18,13-12-18,1221001,2019,0.0,0,No Delay,0.6,0.32,0.08
9600,BPR,2146124538.0,816644,PASA ASSOCIATES PVT. LTD.,West,RPUR,RV,0.14,10,ZZ38,Credit,64908274,01.12.2018,Dec,01-12-18,05-12-18,1221001,2019,1.23,9,0 to 20,0.35,0.52,0.12
1000,BPR,2202500064.0,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.15,12,ZZ36,Credit,64906933,01.12.2018,Dec,01-12-18,06-12-18,1221001,2019,0.0,0,No Delay,0.5,0.49,0.01
1000,BPR,2202500065.0,814077,TATA STEEL PROCESSING,North,GBAD,RV,0.15,12,ZZ36,Credit,64906934,01.12.2018,Dec,01-12-18,06-12-18,1221001,2019,0.0,0,No Delay,0.5,0.49,0.01
4000,BPR,2431598265.0,813502,PASA RESOURCES PVT. LTD.,East,JAMS,RV,0.17,0,Z001,Cash,64906187,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.84,0.15,0.01
3000,BPR,2485215725.0,163486,Rohit & Co.,West,BOMB,RV,0.07,20,ZZ28,Credit,64906220,01.12.2018,Dec,01-12-18,04-12-18,1221001,2019,0.0,0,No Delay,0.58,0.38,0.04
9600,BPR,2483312183.0,163486,Rohit & Co.,West,BOMB,RV,0.15,20,ZZ28,Credit,64907746,01.12.2018,Dec,01-12-18,04-12-18,1221001,2019,0.0,0,No Delay,0.58,0.35,0.08
2500,BPR,2410323386.0,161834,PSPL STEEL PROCESSORS PVT. LIM,East,JAMS,RV,0.03,2,Z001,Cash,64906900,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,1.06,9,0 to 20,0.18,0.82,0.0
2500,BPR,2410323385.0,161834,PSPL STEEL PROCESSORS PVT. LIM,East,JAMS,RV,0.13,3,Z001,Cash,64906899,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,1.06,9,0 to 20,0.19,0.81,0.0
2000,BPR,2412156718.0,161312,GOVINDARAJA MUDALIAR SONS PVT,South,MADS,RV,0.16,2,ZZ19,Credit,64907419,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,0.0,0,No Delay,0.54,0.32,0.14
2000,BPR,2426112131.0,158122,WRINKLE DISTRIBUTORS PVT LTD.,West,AMED,RV,0.13,0,ZZ19,Credit,64909927,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,0.43,2,No Delay,0.52,0.37,0.12
2000,BPR,2412156971.0,154641,TATA STEEL PROCESSING,West,PUNE,RV,0.09,15,Z003,Credit,64909894,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,10.5,72,0 to 20,0.34,0.5,0.16
2000,BPR,2412156975.0,154641,TATA STEEL PROCESSING,West,PUNE,RV,0.14,15,Z003,Credit,64909898,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,10.5,72,0 to 20,0.34,0.46,0.21
2000,BPR,2412156976.0,154641,TATA STEEL PROCESSING,West,PUNE,RV,0.09,15,Z003,Credit,64909899,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,10.5,72,0 to 20,0.34,0.5,0.16
2000,BPR,2412156978.0,154641,TATA STEEL PROCESSING,West,PUNE,RV,0.09,15,Z003,Credit,64909902,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,10.5,72,0 to 20,0.34,0.5,0.16
2000,BPR,2412156984.0,154641,TATA STEEL PROCESSING,West,PUNE,RV,0.09,15,Z003,Credit,64909908,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,10.5,72,0 to 20,0.34,0.5,0.16
2000,BPR,2412156989.0,154641,TATA STEEL PROCESSING,West,PUNE,RV,0.17,15,Z003,Credit,64909913,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,10.5,72,0 to 20,0.33,0.43,0.24
2500,BPR,2410323365.0,154462,TATA STEEL PROCESSING,North,LUDH,RV,0.14,3,ZZ09,Credit,64906172,01.12.2018,Dec,01-12-18,10-12-18,1221001,2019,0.84,6,No Delay,0.46,0.46,0.08
1000,BPR,2431598300.0,151268,BMW VENTURES LTD.,East,JAMS,RV,0.2,2,ZZ29,Credit,64907738,01.12.2018,Dec,01-12-18,04-12-18,1221001,2019,0.15,1,0 to 20,0.25,0.72,0.03
1000,BPR,2431598305.0,151268,BMW VENTURES LTD.,East,JAMS,RV,0.2,2,ZZ29,Credit,64907813,01.12.2018,Dec,01-12-18,04-12-18,1221001,2019,0.15,1,0 to 20,0.25,0.72,0.03
1000,BPR,2431598284.0,147587,BIRMA INDUSTRIAL &,East,JAMS,RV,0.1,3,Z001,Cash,64907110,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.1,1,0 to 20,0.08,0.9,0.02
9600,BPR,2146124501.0,147587,BIRMA INDUSTRIAL &,East,JAMS,RV,0.21,2,ZZ34,Credit,64907024,01.12.2018,Dec,01-12-18,03-12-18,1221001,2019,0.1,1,0 to 20,0.23,0.76,0.01
4000,BPR,4130036795.0,139244,THE INDIAN MINERAL CO ( RETAIL,South,BANG,RV,0.18,0,Z001,Cash,64908221,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.83,0.17,0.01
4000,BPR,4130036796.0,139244,THE INDIAN MINERAL CO ( RETAIL,South,BANG,RV,0.01,0,Z001,Cash,64908222,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.83,0.17,0.0
4000,BPR,4130036797.0,139244,THE INDIAN MINERAL CO ( RETAIL,South,BANG,RV,0.17,0,Z001,Cash,64908225,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.84,0.16,0.0
4000,BPR,2421247090.0,136749,SKM STEELS LTD. (TISCON-TMT DI,West,INDR,RV,0.14,0,Z001,Cash,64907761,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.83,0.16,0.01
4000,BPR,2421247091.0,136749,SKM STEELS LTD. (TISCON-TMT DI,West,INDR,RV,0.08,0,Z001,Cash,64907777,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.79,0.2,0.01
4000,BPR,2418112891.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.19,-1,Z002,Credit,64906964,01.12.2018,Dec,01-12-18,08-12-18,1221001,2019,0.0,0,No Delay,0.61,0.25,0.14
4000,BPR,2495137964.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.19,-1,Z002,Credit,64908357,01.12.2018,Dec,01-12-18,08-12-18,1221001,2019,0.0,0,No Delay,0.51,0.31,0.18
4000,BPR,2431598334.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.18,-1,Z002,Credit,64908134,01.12.2018,Dec,01-12-18,08-12-18,1221001,2019,0.0,0,No Delay,0.6,0.24,0.16
4000,BPR,2431598319.0,121899,V.N.C. STEEL DISTRIBUTORS,South,MADS,RV,0.17,-1,Z002,Credit,64907953,01.12.2018,Dec,01-12-18,08-12-18,1221001,2019,0.0,0,No Delay,0.61,0.24,0.15
3000,BPR,2485215726.0,120961,SKM STEELS LTD,West,INDR,RV,0.14,8,ZZ28,Credit,64906258,01.12.2018,Dec,01-12-18,04-12-18,1221001,2019,1.36,11,0 to 20,0.36,0.59,0.05
9600,BPR,2146124552.0,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.18,4,ZZ40,Credit,64908348,01.12.2018,Dec,01-12-18,09-12-18,1221001,2019,0.94,7,0 to 20,0.38,0.48,0.14
9600,BPR,2146124543.0,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.16,6,ZZ41,Credit,64908287,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,0.94,7,No Delay,0.49,0.38,0.12
9600,BPR,2146124474.0,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.16,6,ZZ41,Credit,64906394,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,0.94,7,No Delay,0.49,0.38,0.12
9600,BPR,2146124553.0,120612,SKM STEELS LIMITED(CRCADIVISIO,West,BOMB,RV,0.16,6,ZZ41,Credit,64908352,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,0.94,7,No Delay,0.49,0.38,0.12
4000,BPR,2483312181.0,119487,INDU CORPORATION PRIVATE LIMIT,West,BOMB,RV,0.11,0,Z001,Cash,64907436,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.88,0.12,0.0
2000,BPR,2426112129.0,117556,S C SHETTAR AND SONS,South,BANG,RV,0.13,0,ZZ41,Credit,64909925,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,1.11,6,No Delay,0.49,0.45,0.06
2000,BPR,2426112133.0,117556,S C SHETTAR AND SONS,South,BANG,RV,0.02,0,ZZ41,Credit,64909930,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,1.11,6,No Delay,0.53,0.41,0.05
2000,BPR,2426112130.0,117556,S C SHETTAR AND SONS,South,BANG,RV,0.04,0,ZZ41,Credit,64909926,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,1.11,6,No Delay,0.52,0.42,0.05
2000,BPR,2412156622.0,116650,KUMMENCHERY STEELS,South,COCH,RV,0.03,1,ZZ21,Credit,64907311,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.58,0.31,0.1
2000,BPR,2412156668.0,116650,KUMMENCHERY STEELS,South,MADS,RV,0.05,1,ZZ21,Credit,64907365,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.61,0.28,0.1
2000,BPR,2412156727.0,116650,KUMMENCHERY STEELS,South,MADS,RV,0.06,1,ZZ21,Credit,64907429,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.61,0.29,0.1
2000,BPR,2412156623.0,116650,KUMMENCHERY STEELS,South,COCH,RV,0.09,1,ZZ21,Credit,64907313,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.58,0.31,0.1
2000,BPR,2412156625.0,116650,KUMMENCHERY STEELS,South,COCH,RV,0.1,1,ZZ21,Credit,64907315,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.58,0.31,0.1
2000,BPR,2412156624.0,116650,KUMMENCHERY STEELS,South,COCH,RV,0.1,1,ZZ21,Credit,64907314,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.58,0.31,0.1
2000,BPR,2412156637.0,116650,KUMMENCHERY STEELS,South,COCH,RV,0.1,1,ZZ21,Credit,64907329,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.58,0.31,0.1
2000,BPR,2412156723.0,116650,KUMMENCHERY STEELS,South,COCH,RV,0.1,1,ZZ21,Credit,64907424,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.58,0.31,0.1
2000,BPR,2412156724.0,116650,KUMMENCHERY STEELS,South,COCH,RV,0.1,1,ZZ21,Credit,64907425,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.58,0.31,0.1
2000,BPR,2412156720.0,116650,KUMMENCHERY STEELS,South,COCH,RV,0.1,1,ZZ21,Credit,64907421,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.58,0.31,0.1
2000,BPR,2412156635.0,116650,KUMMENCHERY STEELS,South,MADS,RV,0.15,1,ZZ21,Credit,64907327,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.62,0.27,0.12
2000,BPR,2412156636.0,116650,KUMMENCHERY STEELS,South,MADS,RV,0.15,1,ZZ21,Credit,64907328,01.12.2018,Dec,01-12-18,16-12-18,1221001,2019,0.0,0,No Delay,0.62,0.27,0.12
2000,BPR,2412156640.0,116465,SRI BALAJI STEEL TRADERS,South,MADS,RV,0.15,1,ZZ19,Credit,64907332,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,0.0,0,No Delay,0.59,0.29,0.12
2000,BPR,2426112094.0,116465,SRI BALAJI STEEL TRADERS,South,MADS,RV,0.16,18,ZZ19,Credit,64907962,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,0.0,0,No Delay,0.6,0.27,0.12
1000,BPR,2341067789.0,116156,FAIRDEAL STEELS PVT.LTD.,North,DELI,RV,0.1,0,Z001,Cash,64906831,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.28,2,No Delay,0.68,0.32,0.0
9600,BPR,2146124480.0,116156,FAIRDEAL STEELS PVT.LTD.,North,DELI,RV,0.18,0,ZZ09,Credit,64906714,01.12.2018,Dec,01-12-18,10-12-18,1221001,2019,0.28,2,No Delay,0.55,0.37,0.07
1000,BPR,2341067794.0,116156,FAIRDEAL STEELS PVT.LTD.,North,DELI,RV,0.12,0,Z001,Cash,64906903,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.28,2,No Delay,0.67,0.33,0.0
1000,BPR,2341067798.0,116156,FAIRDEAL STEELS PVT.LTD.,North,DELI,RV,0.16,0,Z001,Cash,64907448,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.28,2,No Delay,0.75,0.25,0.0
3000,BPR,2485215728.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.13,1,ZZ28,Credit,64906981,01.12.2018,Dec,01-12-18,04-12-18,1221001,2019,0.28,2,No Delay,0.51,0.47,0.02
9600,BPR,2146124482.0,115806,NARESH STEEL INDUSTRIES PVT. L,West,BOMB,RV,0.17,2,ZZ41,Credit,64906721,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,0.28,2,No Delay,0.57,0.32,0.11
2000,BPR,2412157000.0,109936,Rohit & Co.,West,AMED,RV,0.17,0,ZZ19,Credit,64909933,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,1.6,11,No Delay,0.61,0.31,0.08
2000,BPR,2412157001.0,109936,Rohit & Co.,West,AMED,RV,0.17,0,ZZ19,Credit,64909934,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,1.6,11,No Delay,0.61,0.31,0.08
2000,BPR,2412156985.0,109936,Rohit & Co.,West,AMED,RV,0.15,1,ZZ19,Credit,64909909,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,1.6,11,No Delay,0.6,0.32,0.08
9600,BPR,2146124472.0,109936,Rohit & Co.,West,BOMB,RV,0.17,1,ZZ40,Credit,64906384,01.12.2018,Dec,01-12-18,09-12-18,1221001,2019,1.6,11,No Delay,0.5,0.37,0.13
2000,BPR,2412157037.0,109936,Rohit & Co.,West,AMED,RV,0.17,1,ZZ19,Credit,64909973,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,1.6,11,No Delay,0.61,0.31,0.08
9600,BPR,2341067790.0,104485,SANGEETA STEEL CORPORATION,North,LUDH,RV,0.16,0,Z001,Cash,64906868,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.5,4,No Delay,0.74,0.25,0.01
4000,BPR,2418112876.0,103620,SILIGURI BUILDERS PVT. LTD.,East,CALS,RV,0.22,20,Z001,Cash,64906798,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.91,0.09,0.0
2000,BPR,2424230845.0,103227,BMW VENTURES LTD,East,PATN,RV,0.2,0,ZZ16,Credit,64906825,01.12.2018,Dec,01-12-18,05-12-18,1221001,2019,1.12,8,No Delay,0.52,0.47,0.02
2000,BPR,2424230844.0,103227,BMW VENTURES LTD,East,PATN,RV,0.05,0,ZZ16,Credit,64906824,01.12.2018,Dec,01-12-18,05-12-18,1221001,2019,1.12,8,No Delay,0.55,0.44,0.01
4000,BPR,2431598263.0,102153,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.19,0,Z001,Cash,64906184,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.75,0.24,0.01
4000,BPR,2431598276.0,102153,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.19,0,Z001,Cash,64906684,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.75,0.24,0.01
4000,BPR,2431598297.0,102153,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.19,0,Z001,Cash,64907546,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.75,0.24,0.01
4000,BPR,2431598298.0,102153,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.2,0,Z001,Cash,64907602,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.75,0.24,0.01
4000,BPR,2431598309.0,102153,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.19,0,Z001,Cash,64907877,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.75,0.24,0.01
4000,BPR,2431598312.0,102153,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.18,0,Z001,Cash,64907908,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.77,0.21,0.02
4000,BPR,2431598325.0,102153,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.18,0,Z001,Cash,64907986,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.77,0.21,0.02
4000,BPR,2418112903.0,102153,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.19,0,Z001,Cash,64908122,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.78,0.21,0.0
4000,BPR,2431598342.0,102153,M/S KISHAN LAL PAWAN KUMAR JAI,North,KANP,RV,0.19,0,Z001,Cash,64908220,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.75,0.24,0.01
1000,BPR,2412156745.0,101383,TIKMANI STEEL TRADING CO.,East,CALS,RV,0.13,0,Z001,Cash,64908055,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.73,0.27,0.0
1000,BPR,2412156747.0,101383,TIKMANI STEEL TRADING CO.,East,CALS,RV,0.14,6,Z001,Cash,64908057,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.73,0.27,0.0
1000,BPR,2412156762.0,101383,TIKMANI STEEL TRADING CO.,East,CALS,RV,0.14,6,Z001,Cash,64908073,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.73,0.27,0.0
1000,BPR,2412156748.0,101383,TIKMANI STEEL TRADING CO.,East,CALS,RV,0.15,6,Z001,Cash,64908058,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.73,0.27,0.0
2000,BPR,2412156763.0,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.13,9,ZZ19,Credit,64908075,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,0.0,0,No Delay,0.54,0.36,0.1
2000,BPR,2412156734.0,101297,AMIT IRON PVT. LTD,East,CALS,RV,0.17,15,ZZ16,Credit,64908043,01.12.2018,Dec,01-12-18,05-12-18,1221001,2019,0.0,0,No Delay,0.66,0.32,0.01
1000,BPR,2412156738.0,101278,RAMESH COMPANY,East,CALS,RV,0.03,0,Z001,Cash,64908047,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.72,0.28,0.0
1000,BPR,2412156744.0,101278,RAMESH COMPANY,East,CALS,RV,0.13,0,Z001,Cash,64908053,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.73,0.27,0.0
1000,BPR,2412156761.0,101278,RAMESH COMPANY,East,CALS,RV,0.03,0,Z001,Cash,64908072,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.72,0.28,0.0
1000,BPR,2412156751.0,101278,RAMESH COMPANY,East,CALS,RV,0.15,0,Z001,Cash,64908061,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.75,0.25,0.0
1000,BPR,2412156755.0,101278,RAMESH COMPANY,East,CALS,RV,0.13,0,Z001,Cash,64908066,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.73,0.27,0.0
1000,BPR,2412156756.0,101278,RAMESH COMPANY,East,CALS,RV,0.13,0,Z001,Cash,64908067,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.73,0.27,0.0
1000,BPR,2412156760.0,101278,RAMESH COMPANY,East,CALS,RV,0.03,0,Z001,Cash,64908071,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.72,0.28,0.0
1000,BPR,2412156750.0,101278,RAMESH COMPANY,East,CALS,RV,0.15,0,Z001,Cash,64908060,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.75,0.25,0.0
1000,BPR,2412156759.0,101278,RAMESH COMPANY,East,CALS,RV,0.11,0,Z001,Cash,64908070,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.73,0.27,0.0
2000,BPR,2412156732.0,100922,BUBNA COMMERCIAL CO.,East,CALS,RV,0.07,0,ZZ34,Credit,64908041,01.12.2018,Dec,01-12-18,03-12-18,1221001,2019,0.07,1,0 to 20,0.38,0.62,0.0
2000,BPR,2412156735.0,100922,BUBNA COMMERCIAL CO.,East,CALS,RV,0.05,0,ZZ34,Credit,64908044,01.12.2018,Dec,01-12-18,03-12-18,1221001,2019,0.07,1,0 to 20,0.38,0.62,0.0
2000,BPR,2412156736.0,100922,BUBNA COMMERCIAL CO.,East,CALS,RV,0.03,0,ZZ34,Credit,64908045,01.12.2018,Dec,01-12-18,03-12-18,1221001,2019,0.07,1,0 to 20,0.38,0.62,0.0
2000,BPR,2412156733.0,100922,BUBNA COMMERCIAL CO.,East,CALS,RV,0.07,0,ZZ34,Credit,64908042,01.12.2018,Dec,01-12-18,03-12-18,1221001,2019,0.07,1,0 to 20,0.38,0.62,0.0
2000,BPR,2412156749.0,100922,BUBNA COMMERCIAL CO.,East,CALS,RV,0.03,0,ZZ34,Credit,64908059,01.12.2018,Dec,01-12-18,03-12-18,1221001,2019,0.07,1,0 to 20,0.38,0.62,0.0
2000,BPR,2412156730.0,100922,BUBNA COMMERCIAL CO.,East,CALS,RV,0.14,0,ZZ34,Credit,64908039,01.12.2018,Dec,01-12-18,03-12-18,1221001,2019,0.07,1,0 to 20,0.38,0.62,0.0
