BusA,CCAr,Reference,Account,Customer.Name,Zone,Bran,Ty,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Sale.Type,DocumentNo,Doc.Chq.dt,Month,Pstng.Date,Net.Due.Dt,G.L,Year,Pending_Amy,pending_cnt,Prediction,Low delay,Medium Delay,High Delay
9600,BPR,2452147326.0,928860,TATA STEEL PROCESSING,North,GBAD,RV,0.15,5,Z001,Cash,64907277,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,0.0,0,No Delay,0.8,0.16,0.04
2000,BPR,2412156641.0,904599,SHREE SAI KRISHNA STEELS,South,SBAD,RV,0.09,18,ZZ42,Credit,64907334,01.12.2018,Dec,01-12-18,13-12-18,1221001,2019,0.0,0,0 to 20,0.31,0.59,0.1
9600,BPR,2146124487.0,854773,ANM ISPAT PVT LTD,West,AMED,RV,0.15,0,ZZ41,Credit,64906866,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,3.65,25,No Delay,0.61,0.31,0.08
9600,BPR,2146124523.0,854773,ANM ISPAT PVT LTD,West,AMED,RV,0.16,0,ZZ41,Credit,64908092,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,3.65,25,No Delay,0.63,0.29,0.08
2000,BPR,2412156966.0,854773,ANM ISPAT PVT LTD,West,AMED,RV,0.15,0,ZZ19,Credit,64909889,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,3.65,25,No Delay,0.65,0.28,0.07
2000,BPR,2412156994.0,854773,ANM ISPAT PVT LTD,West,AMED,RV,0.15,0,ZZ19,Credit,64909918,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,3.65,25,No Delay,0.65,0.28,0.07
3000,BPR,2412157038.0,854773,ANM ISPAT PVT LTD,West,AMED,RV,0.16,0,ZZ19,Credit,64909974,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,3.65,25,No Delay,0.63,0.29,0.08
2000,BPR,2412156990.0,854773,ANM ISPAT PVT LTD,West,AMED,RV,0.17,0,ZZ19,Credit,64909914,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,3.65,25,No Delay,0.63,0.31,0.06
2000,BPR,2412156728.0,847544,G K ISPAT P LTD,South,SBAD,RV,0.17,-1,ZZ20,Credit,64907430,01.12.2018,Dec,01-12-18,13-12-18,1221001,2019,0.0,0,No Delay,0.62,0.31,0.07
2000,BPR,2426112132.0,847471,AASHRAY ENTERPRISES,South,SBAD,RV,0.07,-4,ZZ32,Credit,64909929,01.12.2018,Dec,01-12-18,08-12-18,1221001,2019,0.0,0,No Delay,0.59,0.3,0.11
9600,BPR,2146124483.0,831432,FERRO STEEL SOLUTIONS,North,FBAD,RV,0.12,0,ZZ40,Credit,64906726,01.12.2018,Dec,01-12-18,09-12-18,1221001,2019,1.22,8,0 to 20,0.43,0.46,0.11
9600,BPR,2146124484.0,831432,FERRO STEEL SOLUTIONS,North,FBAD,RV,0.09,0,Z001,Cash,64906727,01.12.2018,Dec,01-12-18,01-12-18,1221001,2019,1.22,8,No Delay,0.53,0.47,0.0
9600,BPR,2146124544.0,831432,FERRO STEEL SOLUTIONS,North,FBAD,RV,0.13,0,ZZ41,Credit,64908291,01.12.2018,Dec,01-12-18,11-12-18,1221001,2019,1.22,8,0 to 20,0.42,0.48,0.1
