,Pstng.Date,pending_cnt
37916,2018-08-31,22
37917,2018-08-31,22
37918,2018-08-31,22
37919,2018-08-31,22
37920,2018-08-31,22
37921,2018-08-31,22
37922,2018-08-30,24
37923,2018-08-30,24
37924,2018-08-30,24
37925,2018-08-30,24
37926,2018-08-30,24
37927,2018-08-30,24
37928,2018-08-30,24
37929,2018-08-30,24
37930,2018-08-30,24
37931,2018-08-30,24
37932,2018-08-30,24
37933,2018-08-30,24
37934,2018-08-30,24
37935,2018-08-30,24
37936,2018-08-30,24
37937,2018-08-30,24
37938,2018-08-30,24
37939,2018-08-30,24
37940,2018-08-30,24
37941,2018-08-30,24
37942,2018-08-30,24
37943,2018-08-30,24
37944,2018-08-29,20
37945,2018-08-29,20
37946,2018-08-29,20
37947,2018-08-29,20
37948,2018-08-29,20
37949,2018-08-29,20
37950,2018-08-28,15
37951,2018-08-28,15
37952,2018-08-28,15
37953,2018-08-27,11
37954,2018-08-27,11
37955,2018-08-27,11
37956,2018-08-27,11
37957,2018-08-27,11
37958,2018-08-27,11
37959,2018-08-25,2
37960,2018-08-25,2
37961,2018-08-25,2
37962,2018-08-25,2
37963,2018-08-25,2
37964,2018-08-25,2
37965,2018-08-24,0
37966,2018-08-23,0
37967,2018-08-23,0
37968,2018-08-23,0
37969,2018-08-23,0
37970,2018-08-23,0
37971,2018-08-23,0
37972,2018-08-23,0
37973,2018-08-23,0
37974,2018-08-23,0
37975,2018-08-23,0
37976,2018-08-23,0
37977,2018-08-23,0
37978,2018-08-23,0
37979,2018-08-23,0
37980,2018-08-18,0
37981,2018-08-18,0
37982,2018-08-18,0
37983,2018-08-18,0
37984,2018-08-18,0
37985,2018-08-18,0
37986,2018-08-18,0
37987,2018-08-18,0
37988,2018-08-18,0
37989,2018-08-18,0
37990,2018-08-18,0
37991,2018-08-18,0
37992,2018-08-18,0
37993,2018-08-16,0
37994,2018-08-16,0
37995,2018-08-16,0
37996,2018-08-16,0
37997,2018-08-16,0
37998,2018-08-16,0
37999,2018-08-16,0
38000,2018-08-16,0
38001,2018-08-16,0
38002,2018-08-16,0
38003,2018-08-16,0
38004,2018-08-16,0
38005,2018-08-16,0
38006,2018-08-14,0
38007,2018-08-13,0
38008,2018-08-13,0
38009,2018-08-13,0
38010,2018-08-13,0
38011,2018-08-13,0
38012,2018-08-13,0
38013,2018-08-13,0
38014,2018-08-13,0
38015,2018-08-11,0
38016,2018-08-11,0
38017,2018-08-11,0
38018,2018-08-11,0
38019,2018-08-11,0
38020,2018-07-31,28
38021,2018-07-31,28
38022,2018-07-31,28
38023,2018-07-31,28
38024,2018-07-31,28
38025,2018-07-31,28
38026,2018-07-31,28
38027,2018-07-31,28
38028,2018-07-31,28
38029,2018-07-31,28
38030,2018-07-31,28
38031,2018-07-31,28
38032,2018-07-31,28
38033,2018-07-31,28
38034,2018-07-31,28
38035,2018-07-31,28
38036,2018-07-31,28
38037,2018-07-31,28
38038,2018-07-31,28
38039,2018-07-31,28
38040,2018-07-31,28
38041,2018-07-31,28
38042,2018-07-31,28
38043,2018-07-31,28
38044,2018-07-30,27
38045,2018-07-30,27
38046,2018-07-30,27
38047,2018-07-30,27
38048,2018-07-30,27
38049,2018-07-30,27
38050,2018-07-30,27
38051,2018-07-30,27
38052,2018-07-30,27
38053,2018-07-30,27
38054,2018-07-30,27
38055,2018-07-30,27
38056,2018-07-30,27
38057,2018-07-28,23
38058,2018-07-28,23
38059,2018-07-28,23
38060,2018-07-28,23
38061,2018-07-28,23
38062,2018-07-28,23
38063,2018-07-28,23
38064,2018-07-28,23
38065,2018-07-28,23
38066,2018-07-28,23
38067,2018-07-28,23
38068,2018-07-28,23
38069,2018-07-28,23
38070,2018-07-28,23
38071,2018-07-28,23
38072,2018-07-28,23
38073,2018-07-28,23
38074,2018-07-28,23
38075,2018-07-28,23
38076,2018-07-28,23
38077,2018-07-28,23
38078,2018-07-27,14
38079,2018-07-27,14
38080,2018-07-27,14
38081,2018-07-27,14
