BusA,CCAr,Reference,Account,Zone,Bran,Status,Local.Crcy.Amt,Arr..Clearing...Net.Due.Date.,PayT,Pstng.Date,G.L,Pending_Amy,pending_cnt,Prediction
0,0,4132000216.0,929488,2,21,0,0.1,-5,27,20181231,1221001,0.0,0,No delay
6,0,1115501955.0,928860,1,9,2,0.04,5,31,20181031,1221001,0.6,4,4-7 days
6,0,1115501981.0,928860,1,9,0,0.12,0,31,20181105,1221001,1.42,10,No delay
6,0,2146118782.0,928860,1,9,3,0.14,8,31,20181027,1221001,0.0,0,8-15 days
2,0,2410320471.0,928860,1,9,1,0.16,2,31,20181103,1221001,1.26,9,0-3 days
