,Material No,Matl Group,MG 1,MG 2,MG 3,WidthXThk,PROFILE,COLOUR,LOCK MAKE,Design
0,1232975,0,1,1,1,776,0,16,6,PLAINSTEEL
1,1208180,1,1,1,1,776,0,7,6,
2,1232973,0,1,1,1,175,0,16,6,PLAINSTEEL
3,1278232,1,0,0,1,175,0,7,12,E32
4,1232976,0,1,1,1,776,0,16,6,PLAINSTEEL
5,1279425,1,0,0,1,175,0,7,12,E32
6,1232982,0,1,1,1,786,0,16,6,PLAINSTEEL
7,1278287,1,0,0,1,185,0,7,12,E32
8,1207881,1,1,1,1,175,0,7,6,
9,1208798,1,1,1,1,175,0,7,6,
10,1209394,1,1,1,1,599,0,7,6,
11,1258381,1,1,1,1,591,2,7,6,PLAINWOOD
12,1267781,1,0,0,1,822,2,7,12,E32
13,1208211,1,1,1,1,822,2,7,21,
14,1207782,1,1,1,1,822,2,7,21,E32
15,1233086,0,0,0,1,26,2,7,6,PLAINWOOD
16,1278094,1,0,0,1,26,8,7,12,E18
17,1209331,1,1,1,1,599,2,7,6,
18,1232981,0,1,1,1,786,0,16,6,PLAINSTEEL
19,1233501,0,1,1,1,786,0,16,21,PLAINSTEEL
20,1233199,0,1,1,1,175,0,8,6,PLAINWOOD
21,1232972,0,1,1,1,175,0,16,6,PLAINSTEEL
22,1208179,1,1,1,1,776,0,7,6,
23,1278296,1,0,0,1,317,0,7,12,E32
24,1278322,1,0,0,1,175,0,8,12,E32
25,1227002,0,1,1,1,776,0,8,6,E32
26,1208788,1,1,1,1,175,0,7,6,E32
27,1232974,0,1,1,1,185,0,16,6,PLAINSTEEL
28,1278223,1,0,0,1,175,0,8,12,E32
29,1279727,1,0,0,1,175,0,7,6,E32
30,1233449,0,1,1,1,552,0,16,6,PLAINSTEEL
31,1278286,1,0,0,1,175,0,25,12,PLAINSTEEL
32,1278142,1,0,0,1,317,0,7,6,E05
33,1278233,1,0,0,1,776,0,25,12,PLAINSTEEL
34,1207793,1,1,1,1,822,2,7,21,
35,1207785,1,1,1,1,822,2,7,21,E32
36,1260938,1,1,1,1,591,2,7,6,PLAINWOOD
37,1207777,1,0,0,1,26,2,7,6,E32
38,1267787,1,0,0,1,26,2,7,12,E32
39,1233092,0,0,0,0,26,2,7,6,PLAINWOOD
40,1279405,1,0,0,1,219,8,7,6,E18
41,1267942,1,0,0,0,26,2,7,12,PLAINWOOD
42,1233129,0,0,0,0,822,2,7,6,PLAINWOOD
43,1209330,1,1,1,1,599,2,7,6,
44,1267773,1,0,0,1,26,2,7,12,E01
45,1267782,1,0,0,1,26,2,7,12,E18
46,1267784,1,0,0,1,26,2,7,12,E32
47,1267837,1,0,0,1,822,2,7,12,E32
48,1278174,1,0,0,1,219,2,7,12,E18
49,1233370,0,0,0,1,26,2,7,6,PLAINWOOD
50,1207891,1,1,1,1,776,0,1,6,
51,1278065,1,0,0,1,317,0,7,6,E32
52,1233465,0,1,1,1,786,0,1,21,PLAINWOOD
53,1279616,1,0,0,1,762,0,7,6,E32
54,1208789,1,1,1,1,175,0,7,6,E32
55,1233198,0,1,1,1,776,0,8,6,PLAINWOOD
56,1283220,1,0,0,1,317,0,7,6,E32
57,1207890,1,1,1,1,776,0,1,6,
58,1233399,0,1,1,1,185,0,16,6,PLAINSTEEL
59,1278051,1,0,0,1,776,0,7,12,E32
60,1208178,1,1,1,1,776,0,0,6,
61,1234759,0,1,1,1,776,0,8,6,PLAINWOOD
62,1279472,1,0,0,1,175,0,1,12,E32
63,1278228,1,0,0,1,317,0,7,6,E18
64,1279477,1,0,0,1,317,0,7,6,E18
65,1278325,1,0,0,1,317,0,7,12,E32
66,1262952,1,1,1,1,776,0,7,6,E18
67,1278067,1,0,0,1,317,0,7,6,E05
68,1279649,1,0,0,1,185,0,8,12,E32
69,1233202,0,1,1,1,786,0,8,6,PLAINWOOD
70,1233396,0,1,1,1,51,0,16,6,PLAINSTEEL
71,1278229,1,0,0,1,765,0,25,6,PLAINSTEEL
72,1279742,1,0,0,1,151,0,7,6,E32
73,1278298,1,0,0,1,175,0,7,12,PLAINWOOD
74,1278145,1,0,0,1,175,0,7,6,E05
75,1278148,1,0,0,1,317,0,7,6,E01
76,1233081,0,1,1,1,822,2,7,21,PLAINWOOD
77,1278092,1,0,0,1,219,8,7,12,E18
78,1278210,1,0,0,0,26,2,7,6,PLAINWOOD
79,1267788,1,0,0,1,822,2,7,12,E32
80,1268023,1,0,0,0,822,2,7,12,PLAINWOOD
81,1268021,1,0,0,0,26,2,7,12,PLAINWOOD
82,1278095,1,0,0,0,26,8,7,12,PLAINWOOD
83,1268022,1,0,0,0,822,2,7,12,PLAINWOOD
84,1234900,0,1,1,1,599,2,7,6,PLAINWOOD
85,1256184,1,1,1,1,822,2,7,21,E32
86,1267771,1,0,0,1,822,2,7,12,PLAINWOOD
87,1269291,1,0,0,1,822,2,7,12,E01
88,1271124,1,0,0,1,219,8,7,12,E18
89,1267840,1,0,0,1,26,2,7,12,E01
90,1233128,0,0,0,0,26,2,7,6,PLAINWOOD
91,1256206,1,1,1,1,599,2,7,15,PLAINWOOD
92,1255984,1,0,0,1,26,2,7,6,E32
93,1256242,1,1,1,1,599,2,7,15,PLAINWOOD
94,1271253,1,0,0,0,822,8,7,12,PLAINWOOD
95,1268020,1,0,0,0,26,8,7,12,PLAINWOOD
96,1233466,0,1,1,1,786,0,1,21,PLAINWOOD
97,1233200,0,1,1,1,175,0,8,6,PLAINWOOD
98,1208177,1,1,1,1,776,0,0,6,
99,1233454,0,1,1,1,786,0,8,6,PLAINWOOD
100,1262951,1,1,1,1,776,0,7,6,E18
101,1233512,0,1,1,1,51,0,7,6,PLAINWOOD
102,1234587,0,1,1,1,552,0,16,6,PLAINSTEEL
103,1279431,1,0,0,1,185,0,7,12,E32
104,1208182,1,1,1,1,776,0,7,6,E32
105,1234724,0,1,1,1,765,0,16,6,PLAINSTEEL
106,1278074,1,0,0,1,175,0,1,12,E01
107,1278190,1,0,0,1,317,0,7,12,E18
108,1279474,1,0,0,1,175,0,1,12,E32
109,1279519,1,0,0,1,776,0,7,6,E18
110,1233330,0,1,1,1,786,0,16,21,PLAINSTEEL
111,1233398,0,1,1,1,51,0,16,6,PLAINSTEEL
112,1208181,1,1,1,1,776,0,7,6,E32
113,1208799,1,1,1,1,175,0,1,6,
114,1234721,0,1,1,1,552,0,1,6,PLAINWOOD
115,1279424,1,0,0,1,185,0,8,6,E18
116,1278297,1,0,0,1,317,0,7,12,PLAINWOOD
117,1279383,1,0,0,1,175,0,7,6,E18
118,1233123,0,1,1,1,51,0,7,6,E32
119,1208685,1,1,1,1,786,0,7,6,E32
120,1278326,1,0,0,1,317,0,1,12,E32
121,1226601,0,1,1,1,765,0,16,6,PLAINSTEEL
122,1278363,1,0,0,1,317,0,1,6,E18
123,1279471,1,0,0,1,175,0,1,12,E18
124,1279475,1,0,0,1,175,0,1,12,E18
125,1233278,0,1,1,1,786,0,7,6,PLAINWOOD
126,1278364,1,0,0,1,175,0,7,6,E32
127,1278199,1,0,0,1,219,0,8,12,E32
128,1279647,1,0,0,1,175,0,25,12,PLAINSTEEL
129,1240088,1,1,1,1,175,1,8,6,E32
130,1278203,1,0,0,1,317,0,7,13,E32
131,1278231,1,0,0,1,118,0,25,6,PLAINSTEEL
132,1283032,1,0,0,1,219,2,7,6,E18
133,1278177,1,0,0,0,26,2,7,12,PLAINWOOD
134,1207778,1,0,0,1,26,2,7,6,E32
135,1234901,0,1,1,1,599,2,7,6,PLAINWOOD
136,1267775,1,0,0,1,26,2,7,12,E32
137,1208209,1,1,1,1,822,0,7,21,
138,1209214,1,1,1,1,591,2,7,15,
139,1267839,1,0,0,1,26,2,7,12,E32
140,1283033,1,0,0,1,219,2,7,6,E32
141,1278090,1,0,0,1,26,2,7,6,E32
142,1256042,1,1,1,1,822,0,7,21,PLAINWOOD
143,1209201,1,1,1,1,599,2,7,15,
144,1259679,1,1,1,1,591,2,7,6,PLAINWOOD
145,1278175,1,0,0,0,26,8,7,12,PLAINWOOD
146,1267783,1,0,0,1,26,2,7,12,E18
147,1255977,1,0,0,0,26,8,7,6,PLAINWOOD
148,1278236,1,0,0,1,219,2,7,6,E18
149,1278171,1,0,0,1,26,2,7,12,E18
150,1267916,1,1,1,1,591,2,1,6,PLAINWOOD
151,1278096,1,0,0,0,822,8,7,12,PLAINWOOD
152,1278207,1,0,0,1,26,8,7,6,E18
153,1278208,1,0,0,1,26,8,7,12,E18
154,1279648,1,0,0,1,175,0,7,12,PLAINWOOD
155,1209202,1,1,1,1,599,2,7,15,
156,1283297,1,0,0,1,219,0,7,6,E18
157,1283005,1,1,1,1,547,0,25,6,PLAINSTEEL
158,1238609,1,1,1,1,185,1,7,6,PLAINWOOD
159,1279484,1,0,0,1,51,0,7,6,E32
160,1283285,1,0,0,1,762,0,7,6,E32
161,1209393,1,1,1,1,599,0,7,6,
162,1278206,1,0,0,1,185,0,7,6,E05
163,1269452,1,1,1,1,175,0,7,6,E18
164,1238751,1,1,1,1,175,1,0,6,PLAINWOOD
165,1234718,0,1,1,1,185,0,1,6,PLAINWOOD
166,1235126,0,1,1,1,776,0,7,21,PLAINWOOD
167,1233182,0,1,1,1,185,0,7,6,PLAINWOOD
168,1278073,1,0,0,1,175,0,1,12,E01
169,1233411,0,1,1,1,765,0,7,6,PLAINWOOD
170,1278348,1,0,0,1,175,0,8,6,E32
171,1283121,1,0,0,1,185,0,7,6,E32
172,1233468,0,1,1,1,776,0,16,21,PLAINSTEEL
173,1208547,1,1,1,1,552,0,7,6,
174,1233410,0,1,1,1,552,0,7,6,PLAINWOOD
175,1265495,1,1,1,1,175,0,0,6,PLAINWOOD
176,1278076,1,0,0,1,175,0,7,12,E18
177,1279384,1,0,0,1,175,0,7,6,E18
178,1283104,1,0,0,1,776,0,7,12,E32
179,1293148,1,0,0,1,317,0,1,6,E18
180,1283248,1,1,1,1,776,0,30,6,PLAINSTEEL
181,1208800,1,1,1,1,175,0,1,6,
182,1233503,0,1,1,1,185,0,16,21,PLAINSTEEL
183,1225896,0,1,1,1,175,0,7,6,E01
184,1278284,1,0,0,1,317,0,25,12,PLAINSTEEL
185,1262953,1,1,1,1,51,0,7,6,E18
186,1279400,1,0,0,1,776,0,7,6,PLAINWOOD
187,1239861,1,1,1,1,51,1,7,6,PLAINWOOD
188,1265515,1,1,1,1,175,0,7,6,E01
189,1271135,1,1,1,1,51,0,7,6,E18
190,1278362,1,0,0,1,317,0,7,6,E01
191,1291996,1,0,0,1,175,0,8,12,E01
192,1227003,0,1,1,1,776,0,8,6,E32
193,1278327,1,0,0,1,317,0,1,12,E32
194,1301840,1,0,0,1,118,0,7,6,E18
195,1279719,1,0,0,1,175,0,8,6,E32
196,1234757,0,1,1,1,599,0,8,6,PLAINWOOD
197,1283190,1,0,0,1,317,0,8,6,E32
198,1293132,1,0,0,1,175,0,7,12,E32
199,1293206,1,1,1,1,542,0,25,6,PLAINSTEEL
200,1278219,1,0,0,1,317,0,8,6,E02
201,1283279,1,0,0,1,765,0,1,6,E18
202,1292522,1,0,0,1,51,0,7,6,E32
203,1233452,0,1,1,1,552,0,1,6,PLAINWOOD
204,1208692,1,1,1,1,185,0,7,6,E32
205,1278225,1,0,0,1,185,0,8,6,E32
206,1283014,1,0,0,1,219,0,8,12,E32
207,1278110,1,0,0,1,185,0,8,6,E05
208,1278224,1,0,0,1,185,0,8,6,E32
209,1233427,0,1,1,1,599,0,16,6,PLAINSTEEL
210,1238744,1,1,1,1,175,1,8,6,E32
211,1278283,1,0,0,1,317,0,25,12,PLAINSTEEL
212,1208807,1,1,1,1,822,0,7,6,
213,1278097,1,0,0,1,776,0,25,12,PLAINSTEEL
214,1259915,1,1,1,1,776,0,8,6,E05
215,1279507,1,0,0,1,185,0,8,6,E18
216,1283109,1,0,0,1,175,0,25,6,PLAINSTEEL
217,1293490,1,0,0,1,118,0,25,6,PLAINSTEEL
218,1208486,1,1,1,1,822,0,7,6,
219,1283320,1,0,0,1,317,0,25,6,PLAINSTEEL
220,1271136,1,1,1,1,317,0,7,6,E18
221,1279372,1,0,0,1,51,0,7,6,E18
222,1279397,1,0,0,1,317,0,7,6,PLAINWOOD
223,1283320,1,0,0,1,317,0,25,6,PLAINSTEEL
224,1233403,0,1,1,1,51,0,1,6,PLAINWOOD
225,1258289,1,0,0,1,776,0,16,12,PLAINSTEEL
226,1278160,1,0,0,1,118,0,7,6,E05
227,1279463,1,0,0,1,175,0,8,12,E32
228,1279473,1,0,0,1,175,0,1,12,E18
229,1293228,1,0,0,1,175,0,8,12,E01
230,1233240,0,1,1,1,51,0,8,6,PLAINWOOD
231,1271302,1,0,0,1,51,0,8,6,E18
232,1279651,1,0,0,1,185,0,8,12,E32
233,1283211,1,0,0,1,762,0,19,6,PLAINSTEEL
234,1259869,1,1,1,1,51,0,1,6,PLAINWOOD
235,1278143,1,0,0,1,51,0,7,6,E05
236,1283278,1,0,0,1,317,0,7,6,E02
237,1233532,0,1,1,1,776,0,16,6,PLAINSTEEL
238,1279490,1,0,0,1,776,0,7,6,E32
239,1234821,0,1,1,1,822,2,7,21,PLAINWOOD
240,1301958,1,0,0,1,219,2,7,6,E32
241,1283235,1,0,0,1,315,0,8,12,E32
242,1283222,1,0,0,1,26,2,7,12,E01
243,1239529,1,0,0,1,26,2,7,6,E32
244,1255994,1,0,0,0,26,8,7,6,PLAINWOOD
245,1239722,1,1,1,1,591,2,7,15,PLAINWOOD
246,1207774,1,0,0,1,822,2,7,6,E32
247,1283030,1,0,0,1,219,2,7,6,PLAINWOOD
248,1234566,0,0,0,0,822,2,7,6,PLAINWOOD
249,1283193,1,1,1,1,716,10,25,21,PLAINSTEEL
250,1258337,1,1,1,1,599,2,1,6,PLAINWOOD
251,1259657,1,1,1,1,591,2,7,15,PLAINWOOD
252,1269412,1,0,0,0,26,8,7,12,PLAINWOOD
253,1256180,1,1,1,1,822,2,7,21,E18
254,1269400,1,0,0,1,822,2,7,12,E32
255,1278091,1,0,0,1,219,8,7,6,E32
256,1233084,0,0,0,1,822,2,7,6,E32
257,1233093,0,0,0,0,641,2,7,6,PLAINWOOD
258,1233368,0,0,0,1,26,2,7,6,PLAINWOOD
259,1267777,1,0,0,1,26,2,7,12,PLAINWOOD
260,1297974,1,0,0,1,219,8,7,12,E01
261,1297990,1,0,0,0,822,2,7,6,PLAINWOOD
262,1233087,0,0,0,1,26,2,7,6,PLAINWOOD
263,1256026,1,1,1,1,641,2,7,6,PLAINWOOD
264,1259681,1,1,1,1,599,0,7,6,PLAINWOOD
265,1278093,1,0,0,1,26,2,7,12,E01
266,1278215,1,0,0,1,219,8,7,6,E32
267,1279469,1,0,0,1,175,0,1,12,E18
268,1291872,1,0,0,1,26,2,7,12,E18
269,1207775,1,0,0,1,822,2,7,6,E32
270,1234835,0,0,0,0,822,2,1,6,PLAINWOOD
271,1235118,0,1,1,1,641,2,7,21,PLAINWOOD
272,1239518,1,1,1,1,822,2,7,21,E18
273,1283086,1,0,0,1,219,2,7,12,E18
274,1233090,0,0,0,1,822,2,7,6,PLAINWOOD
275,1278358,1,0,0,1,219,0,7,6,E32
276,1293649,1,0,0,1,26,2,7,6,E32
277,1261057,1,1,1,1,641,2,7,6,PLAINWOOD
278,1278204,1,0,0,1,175,0,7,13,E32
279,1301970,1,0,0,1,765,0,7,6,E32
280,1278354,1,0,0,1,118,0,7,6,E01
281,1283004,1,1,1,1,547,0,25,6,PLAINSTEEL
282,1279626,1,0,0,1,51,0,25,6,PLAINSTEEL
283,1234719,0,1,1,1,185,0,1,6,PLAINWOOD
284,1278211,1,0,0,1,47,0,7,6,E32
285,1293590,1,0,0,1,317,0,1,6,E01
286,1266937,1,1,1,1,185,0,8,6,E32
287,1307802,1,0,0,1,317,0,7,12,E01
288,1307803,1,0,0,1,317,0,7,12,E01
289,1233502,0,1,1,1,185,0,16,21,PLAINSTEEL
290,1233420,0,1,1,1,175,0,8,6,E18
291,1234659,0,1,1,1,786,0,7,21,PLAINWOOD
292,1258323,1,1,1,1,786,0,7,6,E32
293,1263388,1,1,1,1,175,0,0,6,E18
294,1278075,1,0,0,1,175,0,7,12,E18
295,1283011,1,0,0,1,317,0,8,12,E32
296,1279433,1,0,0,1,185,0,1,6,E18
297,1293475,1,0,0,1,317,0,7,6,PLAINWOOD
298,1298098,1,0,0,1,317,0,7,12,PLAINWOOD
299,1234606,0,1,1,1,118,0,16,6,PLAINSTEEL
300,1256283,1,1,1,1,175,0,17,6,PLAINSTEEL
301,1279643,1,0,0,1,219,0,7,12,E32
302,1293139,1,0,0,1,185,0,7,6,E32
303,1301971,1,0,0,1,51,0,7,6,PLAINWOOD
304,1233320,0,1,1,1,776,0,1,21,PLAINWOOD
305,1233387,0,1,1,1,786,0,7,6,PLAINWOOD
306,1279466,1,0,0,1,175,0,8,12,E18
307,1293453,1,0,0,1,185,2,8,12,E32
308,1208243,1,1,1,1,185,0,8,6,
309,1208244,1,1,1,1,185,0,8,6,
310,1233431,0,1,1,1,765,0,8,6,PLAINWOOD
311,1233467,0,1,1,1,776,0,16,21,PLAINSTEEL
312,1278099,1,0,0,1,323,0,7,13,E32
313,1278134,1,0,0,1,185,0,1,12,E01
314,1279446,1,0,0,1,317,0,1,12,E18
315,1279543,1,0,0,1,776,0,8,6,E05
316,1283287,1,0,0,1,175,0,0,12,E05
317,1292064,1,1,1,1,776,0,20,6,PLAINSTEEL
318,1256264,1,1,1,1,51,0,7,6,E32
319,1271313,1,0,0,1,118,0,8,6,E18
320,1278361,1,0,0,1,175,0,0,6,E32
321,1279395,1,0,0,1,47,0,7,6,E18
322,1279478,1,0,0,1,118,0,7,6,E32
323,1282995,1,1,1,1,197,0,25,6,PLAINSTEEL
324,1293573,1,0,0,1,786,0,7,12,E32
325,1279417,1,0,0,1,185,0,1,6,E02
326,1298057,1,0,0,1,185,0,1,12,E32
327,1291999,1,0,0,1,51,0,7,12,E32
328,1279617,1,0,0,1,47,0,7,6,E01
329,1279625,1,0,0,1,51,0,25,6,PLAINSTEEL
330,1208691,1,1,1,1,185,0,7,6,E32
331,1279618,1,0,0,1,47,0,7,6,E01
332,1208188,1,1,1,1,776,0,8,6,E18
333,1233551,0,1,1,1,786,0,7,15,PLAINWOOD
334,1278372,1,0,0,1,175,0,1,6,E18
335,1262923,1,0,0,1,175,0,25,12,PLAINSTEEL
336,1226210,0,1,1,1,175,0,0,6,E32
337,1278371,1,0,0,1,317,0,0,6,E18
338,1256049,1,1,1,1,175,0,1,6,E32
339,1263356,1,1,1,1,765,0,19,6,PLAINSTEEL
340,1271117,1,0,0,1,317,0,7,13,E32
341,1278209,1,0,0,1,175,0,0,6,E18
342,1259629,1,1,1,1,765,0,7,6,E05
343,1279539,1,0,0,1,175,0,8,6,E18
344,1259652,1,1,1,1,47,0,1,6,PLAINWOOD
345,1278130,1,0,0,1,327,0,7,12,E32
346,1278324,1,0,0,1,776,0,8,12,E32
347,1279461,1,0,0,1,185,0,1,12,E18
348,1283219,1,1,1,1,776,0,8,6,E05
349,1208814,1,1,1,1,776,0,1,6,E01
350,1235065,0,1,1,1,552,0,16,21,PLAINSTEEL
351,1278280,1,0,0,1,175,0,7,12,E05
352,1279398,1,0,0,1,317,0,0,6,E32
353,1279459,1,0,0,1,185,0,8,12,E32
354,1279652,1,1,1,1,317,0,25,6,PLAINSTEEL
355,1291921,1,1,1,1,765,0,19,6,PLAINSTEEL
356,1293231,1,1,1,1,776,0,30,6,PLAINSTEEL
357,1293340,1,0,0,1,175,0,7,12,E01
358,1298049,1,0,0,1,317,0,8,12,E18
359,1267978,1,1,1,1,776,0,7,6,E05
360,1278230,1,0,0,1,762,0,1,6,E18
361,1279544,1,0,0,1,175,0,8,6,PLAINWOOD
362,1283105,1,0,0,1,175,0,1,6,E01
363,1292016,1,0,0,1,175,2,7,12,E32
364,1293137,1,0,0,1,317,0,8,6,E05
365,1298062,1,0,0,1,185,0,7,12,E05
366,1266722,1,1,1,1,641,0,7,6,PLAINWOOD
367,1278147,1,0,0,1,317,0,8,6,PLAINWOOD
368,1278149,1,0,0,1,317,0,1,6,E32
369,1278258,1,1,1,1,317,0,7,6,PLAINWOOD
370,1279493,1,0,0,1,118,0,7,6,E05
371,1279542,1,0,0,1,776,0,8,6,E05
372,1291909,1,0,0,1,317,0,7,7,E32
373,1293498,1,1,1,1,118,0,7,6,E02
374,1293504,1,0,0,1,118,0,1,6,E18
375,1293603,1,0,0,1,762,0,25,6,PLAINSTEEL
376,1298087,1,0,0,1,317,0,7,12,E05
377,1283236,1,0,0,1,315,0,8,12,E32
378,1263183,1,1,1,1,591,2,7,15,PLAINWOOD
379,1283150,1,0,0,1,47,0,8,12,E32
380,1283152,1,0,0,1,47,0,8,12,E32
381,1256022,1,1,1,1,822,2,7,21,E18
382,1263165,1,1,1,1,822,2,7,6,PLAINWOOD
383,1297988,1,0,0,0,26,8,7,6,PLAINWOOD
384,1207818,1,0,0,1,822,2,7,6,
385,1283197,1,1,1,1,721,10,7,21,PLAINWOOD
386,1302026,1,0,0,1,26,8,7,6,E32
387,1295982,1,0,0,1,822,2,7,12,PLAINWOOD
388,1298328,1,0,0,1,173,0,7,6,E32
389,1233088,0,0,0,1,822,2,7,6,PLAINWOOD
390,1283221,1,0,0,1,26,2,7,12,E01
391,1293530,1,0,0,0,219,8,7,6,PLAINWOOD
392,1227306,0,1,1,1,47,0,8,6,E32
393,1283192,1,1,1,1,716,10,25,21,PLAINSTEEL
394,1283234,1,0,0,1,822,2,7,12,E01
395,1233085,0,0,0,1,822,2,7,6,E32
396,1258338,1,0,0,1,822,2,7,6,E01
397,1298329,1,0,0,1,173,0,7,6,E32
398,1301814,1,0,0,1,219,8,7,6,E18
399,1233447,0,1,1,1,591,2,7,15,PLAINWOOD
400,1256004,1,0,0,0,822,8,7,6,PLAINWOOD
401,1258452,1,1,1,1,51,5,7,6,PLAINWOOD
402,1278114,1,0,0,1,317,5,7,12,E32
403,1283313,1,0,0,0,26,2,7,12,PLAINWOOD
404,1298028,1,1,1,1,26,2,7,21,PLAINWOOD
405,1256185,1,1,1,1,822,2,7,21,E32
406,1258453,1,1,1,1,51,5,1,6,PLAINWOOD
407,1283241,1,0,0,1,315,0,3,12,PLAINWOOD
408,1283303,1,0,0,1,175,2,8,12,E32
409,1297989,1,0,0,0,219,2,7,6,PLAINWOOD
410,1227302,0,1,1,1,47,0,7,6,E01
411,1227309,0,1,1,1,47,0,3,6,PLAINWOOD
412,1258341,1,0,0,1,26,2,7,6,E01
413,1269289,1,0,0,1,822,2,7,12,E18
414,1278235,1,0,0,1,822,2,7,12,E32
415,1283195,1,1,1,1,716,10,0,21,PLAINWOOD
416,1233426,0,1,1,1,599,0,16,6,PLAINSTEEL
417,1258457,1,1,1,1,547,5,12,6,PLAINSTEEL
418,1263184,1,1,1,1,591,2,7,15,PLAINWOOD
419,1267779,1,0,0,1,26,2,7,12,PLAINWOOD
420,1235163,0,1,1,1,26,2,7,21,E32
421,1271252,1,0,0,0,219,8,7,12,PLAINWOOD
422,1279596,1,1,1,1,776,0,1,6,E18
423,1283194,1,1,1,1,716,10,0,21,PLAINWOOD
424,1283346,1,0,0,0,822,8,7,6,PLAINWOOD
425,1293623,1,0,0,1,26,8,7,12,E01
426,1293625,1,0,0,1,26,2,8,12,E32
427,1295969,1,0,0,1,26,8,7,12,E01
428,1295973,1,0,0,1,822,2,7,12,E01
429,1301884,1,0,0,1,822,8,7,6,E18
430,1227320,0,1,1,1,867,0,8,6,E32
431,1239631,1,1,1,1,822,2,7,21,E01
432,1256023,1,0,0,0,822,8,7,6,PLAINWOOD
433,1269292,1,0,0,1,822,2,7,12,E02
434,1278187,1,0,0,1,175,2,1,12,E01
435,1279571,1,0,0,1,323,0,7,12,E32
436,1283243,1,0,0,1,26,2,3,12,E32
437,1283315,1,0,0,0,822,2,7,12,PLAINWOOD
438,1291893,1,1,1,1,721,10,25,21,PLAINSTEEL
439,1293441,1,0,0,1,185,0,0,7,PLAINWOOD
440,1293612,1,1,1,1,588,2,7,6,PLAINWOOD
441,1227321,0,1,1,1,867,0,8,6,E32
442,1269408,1,0,0,1,26,2,7,12,E18
443,1283146,1,1,1,1,762,0,1,6,E18
444,1291867,1,0,0,1,219,8,3,12,E18
445,1291973,1,1,1,1,599,2,7,15,PLAINWOOD
446,1291988,1,0,0,1,822,2,7,12,E02
447,1293597,1,0,0,1,765,0,25,6,PLAINSTEEL
448,1296034,1,1,1,1,599,2,7,15,PLAINWOOD
449,1207807,1,0,0,0,26,2,7,6,
450,1269419,1,0,0,1,26,2,6,6,E32
451,1279465,1,0,0,1,175,0,8,12,E32
452,1282993,1,1,1,1,561,0,1,6,PLAINWOOD
453,1291866,1,0,0,1,822,8,7,12,E18
454,1291892,1,1,1,1,716,10,1,21,PLAINWOOD
455,1293282,1,1,1,1,51,5,1,6,E01
456,1296033,1,1,1,1,599,2,7,15,PLAINWOOD
457,1297991,1,0,0,0,26,8,7,6,PLAINWOOD
458,1234896,0,1,1,1,637,2,7,6,PLAINWOOD
459,1239541,1,1,1,1,822,2,7,21,E02
460,1258382,1,1,1,1,776,0,14,6,PLAINSTEEL
461,1259687,1,1,1,1,591,2,0,6,PLAINWOOD
462,1267776,1,0,0,1,26,2,7,12,PLAINWOOD
463,1269406,1,0,0,1,822,2,3,12,E32
464,1278282,1,0,0,1,317,0,0,12,E05
465,1279430,1,0,0,1,185,0,25,12,PLAINSTEEL
466,1279451,1,1,1,1,641,2,7,21,PLAINWOOD
467,1283089,1,0,0,1,822,2,7,12,E18
468,1283147,1,1,1,1,762,0,1,6,E18
469,1292012,1,0,0,1,175,2,1,12,E32
470,1295983,1,0,0,1,219,8,7,12,E01
471,1307870,1,0,0,1,26,2,7,6,E18
472,1207819,1,0,0,1,822,2,7,6,
473,1208030,1,1,1,1,219,0,7,6,
474,1209334,1,1,1,1,599,2,7,21,
475,1267836,1,0,0,1,26,2,7,12,PLAINWOOD
476,1269282,1,1,1,1,591,2,1,6,PLAINWOOD
477,1269290,1,1,1,1,822,2,7,21,E01
478,1269402,1,1,1,1,822,2,7,21,E18
479,1271206,1,1,1,1,641,2,7,6,PLAINWOOD
480,1277981,1,0,0,1,776,0,8,12,E18
481,1279665,1,0,0,1,118,0,1,6,E01
482,1291868,1,0,0,1,26,2,3,12,E32
483,1293199,1,0,0,1,219,2,7,6,E01
484,1298107,1,0,0,1,762,0,20,6,PLAINSTEEL
485,1298304,1,0,0,1,219,7,7,12,E18
486,1263044,1,1,1,1,762,0,7,6,PLAINWOOD
487,1278146,1,0,0,1,776,0,25,6,PLAINSTEEL
488,1278188,1,0,0,1,219,7,8,12,E32
489,1279495,1,0,0,1,219,8,7,12,E32
490,1279520,1,0,0,1,118,0,7,6,E32
491,1282994,1,1,1,1,561,0,1,6,PLAINWOOD
492,1283322,1,0,0,1,762,0,1,6,PLAINWOOD
493,1291871,1,0,0,1,822,2,7,12,PLAINWOOD
494,1292017,1,0,0,1,175,5,7,13,E32
495,1293338,1,0,0,1,185,0,7,12,E05
496,1293618,1,0,0,1,26,2,3,12,E18
497,1208552,1,1,1,1,786,0,1,6,
498,1301969,1,0,0,1,765,0,7,6,E32
499,1278355,1,0,0,1,776,0,7,6,E32
500,1258384,1,1,1,1,317,0,7,6,E32
501,1233392,0,1,1,1,175,0,0,6,E18
502,1271286,1,0,0,1,175,0,0,12,E32
503,1279723,1,0,0,1,776,0,8,6,E32
504,1297929,1,0,0,1,317,0,7,13,E32
505,1207882,1,1,1,1,317,0,7,6,
506,1233419,0,1,1,1,776,0,7,6,E01
507,1259877,1,1,1,1,175,0,1,21,PLAINWOOD
508,1279559,1,0,0,1,185,0,7,12,E01
509,1283108,1,0,0,1,317,0,0,6,E18
