,Material No,Matl Group,MG 1,MG 2,MG 3,WidthXThk,PROFILE,COLOUR,LOCK MAKE,Design
4375,1293434,1,0,0,1,200,9,7,12,E01
4376,1293436,1,0,0,1,335,0,1,6,PLAINWOOD
4377,1293437,1,1,1,1,786,10,8,6,PLAINWOOD
4378,1293439,1,0,0,1,566,7,1,7,PLAINWOOD
4379,1293440,1,0,0,1,565,7,1,7,PLAINWOOD
4380,1293442,1,0,0,1,185,7,0,7,E18
4381,1293443,1,0,0,1,317,7,7,12,E05
4382,1293444,1,0,0,1,185,7,8,12,E32
4383,1293445,1,0,0,1,51,7,0,12,PLAINWOOD
4384,1293446,1,0,0,1,175,7,1,13,PLAINWOOD
4385,1293447,1,0,0,1,317,7,7,13,E01
4386,1293450,1,0,0,1,762,0,7,7,E18
4387,1293451,1,0,0,1,317,0,7,7,E32
4388,1293452,1,0,0,1,765,0,1,6,E05
4389,1293455,1,0,0,1,776,2,1,12,E01
4390,1293456,1,0,0,1,26,8,8,6,E18
4391,1293458,1,1,1,1,762,0,1,6,E01
4392,1293459,1,0,0,1,47,0,1,6,E32
4393,1293461,1,0,0,1,331,0,7,6,E05
4394,1293468,1,1,1,1,143,0,25,15,PLAINSTEEL
4395,1293469,1,0,0,1,219,8,7,6,E05
4396,1293472,1,1,1,1,52,0,7,6,E18
4397,1293473,1,0,0,1,57,0,7,6,E18
4398,1293474,1,0,0,1,8,0,7,6,E18
4399,1293476,1,0,0,1,175,0,1,7,E18
4400,1293477,1,0,0,1,323,0,7,6,E01
4401,1293479,1,0,0,1,317,8,1,12,PLAINWOOD
4402,1293480,1,0,0,1,776,0,1,12,PLAINWOOD
4403,1293481,1,0,0,1,776,0,1,12,PLAINWOOD
4404,1293482,1,0,0,1,317,0,8,12,E02
4405,1293483,1,0,0,1,317,0,10,12,PLAINWOOD
4406,1293484,1,0,0,1,185,2,8,12,E32
4407,1293485,1,0,0,1,175,2,8,12,E32
4408,1293486,1,1,1,1,616,10,0,6,PLAINWOOD
4409,1293487,1,0,0,1,131,0,19,6,PLAINSTEEL
4410,1293488,1,1,1,1,542,0,7,6,PLAINWOOD
4411,1293491,1,0,0,1,48,0,7,6,E05
4412,1293493,1,1,1,1,48,0,7,6,E05
4413,1293494,1,1,1,1,48,0,7,6,E02
4414,1293496,1,0,0,1,776,0,20,6,PLAINSTEEL
4415,1293497,1,0,0,1,175,0,7,7,E32
4416,1293499,1,0,0,1,542,0,1,6,PLAINWOOD
4417,1293500,1,0,0,1,542,0,1,6,PLAINWOOD
4418,1293501,1,1,1,1,118,0,7,6,E02
4419,1293502,1,0,0,1,867,0,25,6,PLAINSTEEL
4420,1293503,1,0,0,1,126,0,7,6,E32
4421,1293505,1,0,0,1,317,0,1,7,E18
4422,1293508,1,0,0,1,118,0,7,7,E05
4423,1293509,1,1,1,1,778,2,7,6,PLAINWOOD
4424,1293510,1,1,1,1,744,2,7,6,PLAINWOOD
4425,1293511,1,1,1,1,550,2,7,6,PLAINWOOD
4426,1293512,1,1,1,1,725,2,7,6,PLAINWOOD
4427,1293513,1,1,1,1,516,2,7,6,PLAINWOOD
4428,1293514,1,1,1,1,787,2,7,6,PLAINWOOD
4429,1293515,1,1,1,1,825,0,7,6,PLAINWOOD
4430,1293516,1,1,1,1,713,0,7,6,PLAINWOOD
4431,1293517,1,1,1,1,700,2,7,6,PLAINWOOD
4432,1293518,1,1,1,1,536,2,7,6,PLAINWOOD
4433,1293519,1,1,1,1,526,0,7,6,PLAINWOOD
